Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","543744","Rex Sealing And Packing Industries","260.00","0.00","0.00","87","63","92","B","141","57.72","741","2850","-6.07","207.33","-47.37","20.87","77.28","91.00","93.00","2023-01-12","Machinery-Gen Industrial",
"2","DIXON","Dixon Technologies (India)","15268.70","-119.05","-0.77","86","95","92","B+","46","92075.68","10955216","717495","-4.39","195.54","-69.68","8.49","54.49","85.00","84.00","2017-09-18","Hsehold-Appliances/Wares",
"3","BBOX","Black Box","570.30","3.80","0.67","85","89","89","A-","47","9521.45","124832","218888","-2.35","170.02","106.29","12.84","58.38","82.00","92.00","-","Computer-Tech Services  ",
"4","517370","Incap","105.00","-2.10","-1.96","85","87","91","A","8","54.97","755","7193","-14.49","152.48","-91.62","15.02","48.13","93.00","91.00","-","Electronic-Parts        ",
"5","543619","Concord Control Systems","1835.00","47.00","2.63","85","99","93","A-","12","1069.58","17207","9377","-11.01","232.34","-61.34","0.75","58.67","78.00","92.00","2022-10-10","Elec-Misc Products      ",
"6","543578","Olatech Solutions","240.00","-3.25","-1.34","84","98","86","B+","95","105.30","4613","19221","-15.54","129.83","-85.56","5.50","37.72","88.00","86.00","2022-08-29","Computer Sftwr-Enterprse",
"7","PRIMESECU","Prime Securities","341.50","-3.25","-0.94","84","96","89","A-","69","1156.57","39077","114428","-4.87","129.07","-37.31","13.39","49.81","88.00","89.00","-","Finance-Invest Bnk/Bkrs ",
"8","NETWEB","Netweb Technologies India Ltd","2875.30","53.35","1.89","84","99","90","A-","26","15906.49","559614","194628","-3.51","265.30","-18.37","7.01","29.98","80.00","74.00","2023-07-27","Computer Sftwr-Database ",
"9","KAYNES","Kaynes Technology India","5756.20","123.20","2.19","83","98","90","A-","12","36057.40","3230638","561245","-4.67","147.51","-41.30","5.41","45.45","80.00","86.00","2022-11-22","Elec-Misc Products      ",
"10","SHAILY","Shaily Engineering Plastics","1132.75","11.65","1.04","83","93","92","A","14","5142.26","202121","178434","-4.65","214.65","-83.99","12.70","62.34","87.00","86.00","-","Chemicals-Plastics      ",
"11","505750","Josts Engineering","1144.95","19.30","1.71","82","98","77","D","141","525.00","8680","7581","-15.81","115.85","29.18","-1.91","21.57","48.00","61.00","-","Machinery-Gen Industrial",
"12","526731","Bright Brothers","289.00","-1.60","-0.55","82","52","83","A+","14","165.06","2455","8494","-13.33","117.27","-78.13","-2.66","43.76","70.00","91.00","-","Chemicals-Plastics      ",
"13","531199","Glance Finance","167.10","7.95","5.00","82","61","85","A-","66","35.90","113","676","5.00","N/A","121.89","N/A","N/A","94.00","92.00","-","Finance-Investment Mgmt ",
"14","VHL","Vardhman Holdings","5270.00","-256.55","-4.64","82","52","86","B","121","1764.08","30308","5751","-8.28","127.90","470.07","31.75","53.34","94.00","91.00","-","Finance-Consumer Loans  ",
"15","522195","Frontier Springs","2180.00","30.00","1.40","82","85","88","B+","137","846.88","8179","3752","-9.60","178.34","-76.25","2.62","35.88","74.00","82.00","-","Steel-Specialty Alloys  ",
"16","PDMJEPAPER","Pudumjee Paper Products","137.08","-3.53","-2.51","82","96","90","A-","49","1335.09","80077","584160","-9.06","204.35","-55.96","18.23","43.33","90.00","83.00","-","Paper & Paper Products  ",
"17","INDRAMEDCO","Indraprastha Med. (Nse) Corp.","459.80","-11.65","-2.47","82","95","91","A","43","4321.92","161235","350664","-6.07","205.15","-69.08","7.89","63.45","86.00","92.00","-","Medical-Hospitals       ",
"18","STAR","Strides Pharma Science","1490.80","-19.55","-1.29","82","65","91","A-","38","13888.88","516184","346246","-11.00","219.79","-69.33","3.40","44.84","77.00","87.00","-","Medical-Generic Drugs   ",
"19","539273","Pecos Hotels","300.00","1.00","0.33","82","67","93","A","161","39.17","303","1010","-31.03","N/A","246.53","N/A","N/A","7.00","87.00","-","Leisure-Services        ",
"20","ARIHANTACA","Arihant Academy","208.00","0.00","0.00","81","63","78","B+","9","125.94","1704","8192","-11.49","98.10","-90.23","4.56","27.02","77.00","85.00","2022-12-29","Consumer Svcs-Education ",
"21","EXCELINDUS","Excel Industries","1580.05","-9.65","-0.61","81","77","82","A+","48","1998.41","52360","33138","-7.32","127.16","-67.64","2.40","35.88","69.00","79.00","-","Chemicals-Agricultural  ",
"22","HIRECT","Hind Rectifiers","1191.75","19.80","1.69","81","71","87","B","12","2011.42","66913","56147","-6.84","128.87","-74.52","21.14","53.60","91.00","91.00","-","Elec-Misc Products      ",
"23","543709","Pngs Gargi Fashion Jewellery","1040.00","10.95","1.06","81","99","88","B","82","1065.89","22643","21772","-2.26","195.45","-11.01","14.45","48.33","84.00","91.00","2022-12-20","Retail/Whlsle-Jewelry   ",
"24","539854","Halder Venture","895.00","12.00","1.36","81","86","91","A-","109","279.12","1500","1676","-4.78","312.04","-90.99","6.66","46.40","76.00","79.00","-","Food-Misc Preparation   ",
