Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","524506","Coral Laboratories","849.00","-19.30","-2.22","90","90","90","C+","43","310.24","3878","4568","-15.02","231.35","-83.06","-0.62","49.71","69.00","88.00","-","Medical-Diversified     ",
"2","NSIL","Nalwa Sons Investments","7075.00","823.50","13.17","89","62","89","A+","66","3210.77","152933","21616","11.19","165.96","794.63","33.08","61.88","93.00","91.00","-","Finance-Investment Mgmt ",
"3","EIMCOELECO","Eimco Elecon India","2918.25","-153.60","-5.00","88","93","79","B+","108","1771.84","21359","7319","-16.60","142.16","146.69","5.29","40.11","67.00","78.00","-","Machinery-Constr/Mining ",
"4","TRENT","Trent","7765.80","46.15","0.60","87","99","93","A-","5","274423.52","9124279","1174931","-6.94","296.90","-51.41","6.81","59.87","82.00","87.00","-","Retail-Department Stores",
"5","IFBIND","Ifb Industries","2262.90","-18.15","-0.80","86","65","89","A","32","9242.59","205394","90766","-3.66","168.36","87.80","17.73","47.22","89.00","85.00","-","Hsehold-Appliances/Wares",
"6","HIRECT","Hind Rectifiers","1174.65","106.75","10.00","86","70","90","A","10","1830.17","49172","41861","10.00","210.39","985.16","20.28","49.46","90.00","87.00","-","Elec-Misc Products      ",
"7","531201","Shilchar Technologies","7156.00","-195.85","-2.66","86","96","90","A-","31","5607.26","73599","10285","-7.74","273.19","121.27","21.67","45.72","89.00","83.00","-","Electrical-Power/Equipmt",
"8","SMSLIFE","Sms Lifesciences India","1525.00","-11.60","-0.75","86","74","94","A+","43","464.51","11712","7680","-12.84","225.52","-82.15","6.19","74.26","88.00","94.00","-","Medical-Diversified     ",
"9","GET&D","Ge T&D India","1827.90","-70.00","-3.69","86","76","95","A-","31","48595.16","722854","395456","-7.17","443.81","114.98","11.74","52.25","81.00","84.00","-","Electrical-Power/Equipmt",
"10","526731","Bright Brothers","287.00","-0.50","-0.17","85","53","88","A+","11","163.30","6200","21602","-13.93","114.95","-86.28","1.05","50.76","85.00","91.00","-","Chemicals-Plastics      ",
"11","KAYNES","Kaynes Technology India","5620.00","37.40","0.67","85","99","89","B+","10","35734.78","2898122","515680","-4.91","158.69","-44.99","9.16","53.71","83.00","90.00","2022-11-22","Elec-Misc Products      ",
"12","530133","Amco India","103.95","-11.55","-10.00","85","73","89","B+","11","47.47","1453","13978","-16.17","N/A","30.69","N/A","N/A","97.00","95.00","-","Chemicals-Plastics      ",
"13","505299","KPT Industries","1167.30","-61.40","-5.00","85","93","91","A-","79","417.76","8009","6861","-14.17","266.72","-55.78","3.85","48.72","81.00","85.00","-","Machinery-Tools & Rel   ",
"14","INDOTECH","Indo Tech Transformers","2520.00","20.35","0.81","85","97","94","A-","31","2654.63","41603","16509","0.81","424.70","189.24","27.09","65.35","91.00","88.00","-","Electrical-Power/Equipmt",
"15","531169","Skp Securities","285.80","7.90","2.84","85","99","96","A+","93","189.22","3313","11591","2.71","355.20","826.26","67.58","120.55","98.00","96.00","-","Finance-Invest Bnk/Bkrs ",
"16","ARIHANTACA","Arihant Academy","229.00","0.00","0.00","84","63","85","A+","9","138.66","3078","13440","-0.13","118.10","-82.14","24.66","46.14","93.00","91.00","2022-12-29","Consumer Svcs-Education ",
"17","NETWEB","Netweb Technologies India Ltd","2685.00","100.25","3.88","84","99","86","B+","20","14569.46","452208","168420","-8.21","249.95","28.98","0.93","25.81","67.00","66.00","2023-07-27","Computer Sftwr-Database ",
"18","DIXON","Dixon Technologies (India)","15370.00","239.15","1.58","84","95","91","A-","32","90538.47","9002194","585699","-0.80","198.09","-44.19","12.96","63.90","83.00","87.00","2017-09-18","Hsehold-Appliances/Wares",
"19","543619","Concord Control Systems","1658.00","-40.65","-2.39","84","99","91","B+","10","1016.13","18793","11335","-19.59","215.73","-88.97","-0.42","60.08","76.00","93.00","2022-10-10","Elec-Misc Products      ",
"20","ABB","ABB India","8778.00","87.30","1.00","83","93","79","B","31","184162.89","2776736","316329","-4.07","125.73","-37.53","9.40","25.17","75.00","65.00","-","Electrical-Power/Equipmt",
"21","BLUESTARCO","Blue Star","2022.55","3.35","0.17","83","93","82","B","16","38895.45","1028576","508554","-8.05","148.06","-26.51","9.09","33.62","76.00","76.00","-","Bldg-A/C & Heating Prds ",
"22","VOLTAMP","Voltamp Transformers","13258.90","-843.40","-5.98","83","95","88","B","31","14267.30","261054","19689","-10.41","230.59","37.83","3.40","31.58","69.00","72.00","-","Electrical-Power/Equipmt",
"23","WHIRLPOOL","Whirlpool Of India (Nse)","2337.10","-18.20","-0.77","82","60","75","A-","32","29882.16","535717","229223","-4.22","98.58","-13.95","8.60","39.09","76.00","81.00","-","Hsehold-Appliances/Wares",
"24","PITTIENG","Pitti Engineering","1293.00","5.55","0.43","82","95","80","B","31","4565.94","104456","80786","-11.29","106.65","-54.63","-2.47","32.36","51.00","74.00","-","Electrical-Power/Equipmt",
"25","VOLTAS","Voltas (Nse)","1868.00","33.40","1.82","82","50","82","B+","32","60704.16","3736418","2000224","-3.95","127.42","-18.21","3.74","32.05","72.00","74.00","-","Hsehold-Appliances/Wares",
"26","ZOMATO","Zomato","259.20","-11.35","-4.20","82","76","86","A-","24","239014.02","14549611","56132759","-13.09","167.21","92.39","0.70","34.67","68.00","77.00","2021-07-23","Retail-Internet         ",
"27","NUVAMA","Nuvama Wealth Management Ltd","7137.00","-47.90","-0.67","82","62","89","A-","66","25662.31","998345","139883","-3.50","207.70","-27.01","9.71","41.59","84.00","82.00","-","Finance-Investment Mgmt ",
"28","SHILPAMED","Shilpa Medicare Limited","854.30","-4.55","-0.53","82","76","90","A","43","8398.78","319870","374424","-10.96","189.37","-63.65","7.83","52.49","80.00","85.00","-","Medical-Diversified     ",
"29","SMSPHARMA","Sms Pharmaceuticals","322.00","-11.05","-3.32","82","66","91","B+","36","2819.34","153103","475476","-19.10","197.76","-7.03","-1.67","45.76","64.00","82.00","-","Medical-Generic Drugs   ",
"30","522195","Frontier Springs","2346.00","-53.95","-2.25","82","85","93","B+","132","945.34","19362","8253","-2.72","299.33","-47.79","17.37","59.06","91.00","91.00","-","Steel-Specialty Alloys  ",
"31","MOTILALOFS","Motilal Oswal Finl.Svs.","1023.50","94.10","10.12","82","98","94","A-","93","55631.47","2060617","2013304","3.58","312.13","786.04","25.66","65.25","94.00","91.00","-","Finance-Invest Bnk/Bkrs ",
"32","TARIL","Transformers And Rtf. (India)","837.00","-10.85","-1.28","82","98","95","A","31","12724.79","187501","224015","-6.88","497.08","-23.08","21.26","62.53","87.00","80.00","-","Electrical-Power/Equipmt",
"33","AJMERA","Ajmera Real.& Infra Ida. (Nse)","867.00","62.15","7.72","81","87","75","B+","98","2913.15","98548","113666","2.80","145.74","782.21","16.42","22.88","86.00","71.00","-","Bldg-Resident/Comml     ",
"34","SYMPHONY","Symphony","1782.00","-2.20","-0.12","81","89","88","A+","32","12252.28","614279","344713","-5.26","117.59","-66.90","10.32","54.11","87.00","89.00","-","Hsehold-Appliances/Wares",
"35","517370","Incap","112.01","5.33","5.00","81","87","89","A+","18","54.76","725","6469","0.42","177.09","53.21","38.61","57.98","96.00","91.00","-","Electronic-Parts        ",
