Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","LFIC","The Lakshmi Fin & Ind Corp","361.35","48.81","15.62","87","61","91","A-","86","108.41","20837","57663","-2.86","194.02","1534.45","53.24","76.53","96.00","94.00","-","Finance-Investment Mgmt ",
"2","TRENT","Trent","7612.70","38.05","0.50","87","99","93","A+","4","270621.59","8624550","1132916","-4.12","291.40","-50.59","13.68","67.57","84.00","88.00","-","Retail-Department Stores",
"3","VMART","V-Mart Retail","4412.85","383.70","9.52","86","39","89","A+","4","8731.71","155760","35297","-1.39","176.67","960.55","21.22","69.21","89.00","92.00","-","Retail-Department Stores",
"4","524506","Coral Laboratories","869.45","2.70","0.31","85","90","91","B-","52","310.65","3798","4368","-12.97","231.85","-63.14","3.28","56.18","68.00","91.00","-","Medical-Diversified     ",
"5","543619","Concord Control Systems","1825.00","-40.00","-2.14","85","99","92","A+","12","1091.71","20951","11480","-11.50","239.22","-89.11","14.55","81.74","89.00","96.00","2022-10-10","Elec-Misc Products      ",
"6","ARIHANTACA","Arihant Academy","190.35","-1.50","-0.78","84","62","70","A","8","115.26","3996","20992","-4.83","81.29","-61.89","11.06","25.60","86.00","79.00","2022-12-29","Consumer Svcs-Education ",
"7","KAYNES","Kaynes Technology India","5466.40","40.65","0.75","84","99","88","B+","12","34990.97","2627474","480659","-5.91","153.31","-26.53","12.29","57.16","83.00","90.00","2022-11-22","Elec-Misc Products      ",
"8","531169","Skp Securities","181.70","2.35","1.31","84","99","90","A+","95","123.72","1337","7358","-9.15","211.66","131.22","17.69","52.24","86.00","85.00","-","Finance-Invest Bnk/Bkrs ",
"9","GET&D","Ge T&D India","1685.95","4.95","0.29","84","76","93","B+","44","43168.24","591851","351049","-10.79","383.08","-54.72","1.45","43.46","54.00","77.00","-","Electrical-Power/Equipmt",
"10","HIRECT","Hind Rectifiers","894.95","3.25","0.36","83","70","84","A-","12","1533.76","42305","47271","-11.62","168.75","-35.31","4.38","28.68","72.00","70.00","-","Elec-Misc Products      ",
"11","BLUESTARCO","Blue Star","2095.85","32.15","1.56","83","93","86","A-","14","40371.94","1004585","479321","-4.71","157.48","-17.62","17.82","44.26","84.00","82.00","-","Bldg-A/C & Heating Prds ",
"12","DIXON","Dixon Technologies (India)","14195.80","392.85","2.85","83","95","87","B+","30","84943.41","8981683","632700","-2.08","182.33","-36.10","11.98","62.65","77.00","85.00","2017-09-18","Hsehold-Appliances/Wares",
"13","526731","Bright Brothers","303.15","0.45","0.15","83","53","90","A+","10","172.19","7224","23830","-9.09","126.65","-80.59","17.88","65.54","93.00","94.00","-","Chemicals-Plastics      ",
"14","PKTEA","The Peria Krl.Tea","541.80","37.85","7.51","82","63","78","A-","48","167.74","939","1733","-2.26","106.71","2958.05","27.65","49.88","89.00","88.00","-","Food-Packaged           ",
"15","543578","Olatech Solutions","238.40","-12.30","-4.91","82","98","84","B","143","103.20","6633","27824","-16.10","198.00","-53.46","17.98","45.18","88.00","87.00","2022-08-29","Computer Sftwr-Enterprse",
"16","ZOMATO","Zomato","274.15","0.85","0.31","82","76","86","A-","27","242194.39","18447073","67288249","-8.08","174.15","-52.28","5.62","42.28","75.00","79.00","2021-07-23","Retail-Internet         ",
"17","STAR","Strides Pharma Science","1401.00","2.00","0.14","82","64","89","A+","47","12883.32","624224","445556","-3.04","200.00","-35.31","11.63","52.45","86.00","87.00","-","Medical-Generic Drugs   ",
"18","505978","Triton Valves","5080.00","8.25","0.16","82","67","94","A","45","601.47","10988","2163","-8.87","250.34","-49.24","17.26","69.15","91.00","91.00","-","Auto/Truck-Original Eqp ",
"19","RBMINFRA","Rbm Infracon","934.95","-27.70","-2.88","82","83","95","A-","49","944.58","50207","53700","-6.51","508.69","-54.19","27.30","55.79","94.00","91.00","2023-01-04","Oil&Gas-Field Services  ",
"20","VOLTAMP","Voltamp Transformers","12959.95","-219.25","-1.66","81","95","85","C","44","13111.58","285909","22061","-12.43","207.69","14.02","-4.58","25.34","35.00","58.00","-","Electrical-Power/Equipmt",
"21","523676","Golkunda Dias.& Jewelr.","270.95","-4.20","-1.53","81","99","88","A+","93","188.69","3321","12258","-10.84","176.48","-62.82","16.98","44.44","88.00","86.00","-","Retail/Whlsle-Jewelry   ",
"22","524136","Pee Cee Cosma Sope","720.30","18.35","2.61","81","78","88","A+","67","190.59","4611","6401","-8.59","138.39","-65.05","27.39","62.89","93.00","91.00","-","Soap & Clng Preparatns  ",
"23","EIMCOELECO","Eimco Elecon India","2981.65","141.95","5.00","81","93","89","A-","120","1719.82","21098","7076","-14.79","244.74","-8.11","1.00","40.60","61.00","79.00","-","Machinery-Constr/Mining ",
"24","DPABHUSHAN","D P Abhushan","1651.90","9.35","0.57","81","96","89","B","93","3735.11","133938","81081","-6.91","220.42","-38.65","15.56","52.27","81.00","83.00","2017-10-23","Retail/Whlsle-Jewelry   ",
"25","POWERINDIA","Hitachi Energy India","14278.90","-266.40","-1.83","81","86","92","A","44","60516.83","641537","44929","-3.85","266.51","-6.58","17.34","55.80","81.00","86.00","-","Electrical-Power/Equipmt",
"26","BASF","Basf India (Nse)","7916.15","530.90","7.19","81","79","93","A","82","34265.85","594677","75122","-4.00","225.77","467.81","18.98","74.58","88.00","93.00","-","Chemicals-Specialty     ",
"27","539854","Halder Venture","865.00","-15.00","-1.70","81","87","93","A","107","273.43","2553","2951","-4.71","303.64","-97.66","1.15","61.46","63.00","90.00","-","Food-Misc Preparation   ",
"28","SMSPHARMA","Sms Pharmaceuticals","374.25","23.45","6.68","81","66","93","B+","47","3168.10","209818","560635","-5.97","234.60","59.47","14.96","73.33","89.00","90.00","-","Medical-Generic Drugs   ",
"29","543244","Shine Fashions (India)","349.45","16.60","4.99","81","98","95","A-","87","97.78","807","2310","-18.32","388.74","-35.06","4.89","126.58","82.00","90.00","2020-11-02","Apparel-Clothing Mfg    ",
"30","538564","James Warren Tea James Warren Tea","319.50","14.40","4.72","80","49","68","A+","90","118.22","2596","8126","-4.63","52.80","72.72","15.57","30.51","86.00","83.00","-","Agricultural Operations ",
