Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","524506","Coral Laboratories","874.00","-26.00","-2.89","90","90","91","B-","45","321.57","3971","4543","-12.51","243.45","-47.57","3.40","55.75","73.00","91.00","-","Medical-Diversified     ",
"2","NSIL","Nalwa Sons Investments","6300.00","471.55","8.09","88","62","85","A","66","2993.49","119832","19021","5.35","147.97","605.86","25.18","51.51","90.00","88.00","-","Finance-Investment Mgmt ",
"3","EIMCOELECO","Eimco Elecon India","3071.75","-161.65","-5.00","86","93","83","A","113","1865.03","19260","6270","-12.21","154.90","813.86","10.98","47.97","75.00","82.00","-","Machinery-Constr/Mining ",
"4","SMSLIFE","Sms Lifesciences India","1595.00","-7.60","-0.47","86","74","94","A+","45","484.47","12258","7685","-8.84","239.50","-80.64","11.77","82.78","90.00","95.00","-","Medical-Diversified     ",
"5","INDOTECH","Indo Tech Transformers","2499.65","119.00","5.00","86","97","94","B+","31","2528.25","40269","16110","5.00","399.72","145.71","21.51","58.46","89.00","85.00","-","Electrical-Power/Equipmt",
"6","GET&D","Ge T&D India","1875.00","-65.15","-3.36","86","76","95","A","31","49676.96","733980","391456","-4.22","455.92","-9.47","14.52","56.53","84.00","85.00","-","Electrical-Power/Equipmt",
"7","526731","Bright Brothers","290.00","-8.95","-2.99","85","53","89","A+","11","169.80","7097","24473","-13.03","123.51","-97.28","5.79","57.30","88.00","93.00","-","Chemicals-Plastics      ",
"8","KAYNES","Kaynes Technology India","5589.95","-141.30","-2.47","85","99","89","B+","10","36686.30","2881798","515532","-5.41","165.58","-63.43","12.68","58.45","85.00","91.00","2022-11-22","Elec-Misc Products      ",
"9","505299","KPT Industries","1237.95","-8.10","-0.65","85","93","91","B+","85","423.66","8573","6925","-8.97","271.90","-83.38","6.06","51.42","82.00","85.00","-","Machinery-Tools & Rel   ",
"10","TRENT","Trent","7731.35","-74.45","-0.95","85","99","93","A","5","277486.04","9028941","1167835","-7.35","301.33","-14.60","8.75","62.48","83.00","88.00","-","Retail-Department Stores",
"11","MOTILALOFS","Motilal Oswal Finl.Svs.","933.00","-29.05","-3.02","85","98","94","A","91","57585.81","1804629","1934222","-5.58","326.61","148.61","31.28","72.02","94.00","92.00","-","Finance-Invest Bnk/Bkrs ",
"12","ABB","ABB India","8700.20","-69.15","-0.79","84","93","78","B+","31","185829.54","2728348","313596","-4.92","127.78","30.08","10.73","26.67","75.00","64.00","-","Electrical-Power/Equipmt",
"13","NETWEB","Netweb Technologies India Ltd","2595.00","1.30","0.05","84","99","86","B+","18","14619.91","453489","174755","-11.28","251.16","-53.06","1.61","26.67","59.00","66.00","2023-07-27","Computer Sftwr-Database ",
