Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","524506","Coral Laboratories","800.00","-5.95","-0.74","86","90","90","C+","43","287.97","3645","4556","-19.92","207.56","-30.97","-8.51","37.52","57.00","86.00","-","Medical-Diversified     ",
"2","TARIL","Transformers And Rtf. (India)","860.00","23.20","2.77","86","98","95","A","42","12558.94","208159","242045","-4.32","489.30","-16.90","18.41","57.55","89.00","79.00","-","Electrical-Power/Equipmt",
"3","526731","Bright Brothers","284.00","-0.45","-0.16","85","53","89","A+","16","161.57","5543","19516","-14.83","112.67","-92.85","-2.10","47.54","89.00","92.00","-","Chemicals-Plastics      ",
"4","NSIL","Nalwa Sons Investments","7310.00","-17.00","-0.23","85","62","93","A+","76","3763.15","220572","30174","-13.75","211.72","149.91","50.04","86.71","97.00","96.00","-","Finance-Investment Mgmt ",
"5","TRENT","Trent","7512.35","15.00","0.20","85","99","93","A-","5","266521.05","7784710","1036255","-9.98","285.47","-51.22","2.18","53.00","83.00","87.00","-","Retail-Department Stores",
"6","IFBIND","Ifb Industries","2252.00","23.25","1.04","84","65","88","A-","29","9030.67","188065","83510","-4.57","162.21","-6.02","14.39","42.02","90.00","87.00","-","Hsehold-Appliances/Wares",
"7","KAYNES","Kaynes Technology India","5463.00","68.35","1.27","84","99","89","B+","12","34531.69","2873188","525936","-7.56","149.98","-50.06","3.93","46.77","82.00","90.00","2022-11-22","Elec-Misc Products      ",
"8","NETWEB","Netweb Technologies India Ltd","2630.00","3.20","0.12","84","99","89","B+","13","14806.48","494145","187888","-10.84","255.65","51.78","1.61","26.47","72.00","73.00","2023-07-27","Computer Sftwr-Database ",
"9","531201","Shilchar Technologies","7069.00","-79.10","-1.11","84","96","90","B+","42","5451.86","79767","11284","-8.87","223.28","44.66","17.25","39.75","88.00","82.00","-","Electrical-Power/Equipmt",
"10","530129","Nile","2310.00","-69.65","-2.93","84","85","91","A+","141","714.37","17514","7582","-17.44","260.58","-58.99","2.64","45.75","82.00","88.00","-","Mining-Metal Ores       ",
"11","TAINWALCHM","Tainwala Chpt.India","260.70","-33.98","-11.53","84","68","91","A-","16","275.94","10165","38990","-21.31","151.97","192.75","30.69","67.78","94.00","93.00","-","Chemicals-Plastics      ",
"12","522195","Frontier Springs","2188.80","-44.65","-2.00","84","85","92","B+","126","879.76","17775","8121","-9.24","271.62","-89.82","6.72","46.30","89.00","90.00","-","Steel-Specialty Alloys  ",
