Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","KAYNES","Kaynes Technology India","5799.85","-73.10","-1.24","87","98","91","A","8","37593.34","3127117","539172","-2.31","158.06","82.48","10.97","53.40","84.00","90.00","2022-11-22","Elec-Misc Products      ",
"2","NETWEB","Netweb Technologies India Ltd","2829.95","30.50","1.09","85","99","91","A-","26","15779.66","521548","184296","-4.06","265.58","36.02","6.65","30.23","75.00","72.00","2023-07-27","Computer Sftwr-Database ",
"3","DIXON","Dixon Technologies (India)","15694.95","47.35","0.30","85","95","92","B+","38","93630.54","11063464","704906","-1.29","200.53","-14.95","11.44","59.28","84.00","86.00","2017-09-18","Hsehold-Appliances/Wares",
"4","SHAILY","Shaily Engineering Plastics","1153.00","-2.65","-0.23","85","93","93","A+","13","5300.73","234230","203148","-1.41","235.75","-23.01","17.04","70.22","89.00","88.00","-","Chemicals-Plastics      ",
"5","TARIL","Transformers And Rtf. (India)","1010.00","36.70","3.77","85","98","95","A+","79","14607.58","270483","267805","1.11","462.44","16.60","29.76","70.80","93.00","86.00","-","Electrical-Power/Equipmt",
"6","BBOX","Black Box","543.00","-6.70","-1.22","84","89","88","A-","68","9239.08","112198","206627","-7.02","162.01","220.84","9.84","55.54","78.00","91.00","-","Computer-Tech Services  ",
"7","543619","Concord Control Systems","1690.00","-10.00","-0.59","84","99","92","B+","8","1016.94","16807","9945","-18.04","215.99","-79.89","-4.08","52.51","72.00","91.00","2022-10-10","Elec-Misc Products      ",
"8","TEJASNET","Tejas Networks","1368.90","-41.30","-2.93","83","65","75","B","78","24751.83","1339102","978232","-8.43","116.54","19.97","12.36","28.55","83.00","66.00","2017-06-27","Computer-Networking     ",
"9","ARIHANTACA","Arihant Academy","210.55","0.00","0.00","83","63","79","B+","7","127.49","2109","10016","-10.40","100.52","83.71","6.71","29.40","79.00","86.00","2022-12-29","Consumer Svcs-Education ",
"10","526731","Bright Brothers","295.00","5.05","1.74","83","52","86","A+","13","164.69","2921","9903","-11.53","116.79","-77.80","-2.90","44.93","80.00","90.00","-","Chemicals-Plastics      ",
"11","542668","Evans Electric","466.95","39.65","9.28","83","97","90","B+","123","117.25","3549","7600","-7.31","164.66","202.63","35.74","55.25","95.00","90.00","2019-05-13","Machinery-Gen Industrial",
"12","517370","Incap","111.45","-2.25","-1.98","83","87","93","A","18","58.36","815","7311","-9.24","173.98","-93.22","25.62","59.06","95.00","93.00","-","Electronic-Parts        ",
"13","GET&D","GE Vernova T&D India Ltd","1760.00","14.00","0.80","83","77","93","B-","79","44705.81","763998","434090","-10.61","370.43","-19.67","2.47","31.59","50.00","71.00","-","Electrical-Power/Equipmt",
"14","543620","Insolation Energy","4250.00","-88.85","-2.05","83","99","97","A+","35","9038.69","118099","27788","-4.92","645.51","-16.15","19.53","73.90","91.00","92.00","2022-10-10","Energy-Solar            ",
"15","ORIANA","Oriana Power Ltd","2529.00","-42.75","-1.66","83","84","97","B+","35","5225.54","173100","68446","-15.25","743.20","6.95","21.55","46.51","91.00","75.00","2023-08-11","Energy-Solar            ",
"16","531201","Shilchar Technologies","7666.75","-403.50","-5.00","82","95","88","A","79","6155.18","124232","16204","-8.16","264.99","37.92","27.35","50.18","92.00","87.00","-","Electrical-Power/Equipmt",
"17","NUVAMA","Nuvama Wealth Management Ltd","7336.00","-35.00","-0.47","82","62","88","B","58","26372.70","983479","134062","-1.66","181.48","-27.66","9.69","38.90","80.00","82.00","-","Finance-Investment Mgmt ",
"18","PDMJEPAPER","Pudumjee Paper Products","142.58","-2.72","-1.87","82","96","89","A+","39","1379.62","78818","552801","-2.87","214.50","114.63","23.39","50.01","91.00","87.00","-","Paper & Paper Products  ",
"19","543744","Rex Sealing And Packing Industries","245.00","7.40","3.11","82","63","89","B","123","52.75","823","3360","-11.49","180.85","-40.48","12.81","64.44","84.00","91.00","2023-01-12","Machinery-Gen Industrial",
