Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","LFIC","The Lakshmi Fin & Ind Corp","298.30","-15.70","-5.00","87","61","88","B+","91","94.20","17802","59677","-19.81","155.49","-96.12","29.24","51.55","94.00","91.00","-","Finance-Investment Mgmt ",
"2","TRENT","Trent","8042.00","592.50","7.95","87","99","93","A","4","264820.04","9232530","1148039","1.29","283.01","98.44","9.15","61.41","86.00","89.00","-","Retail-Department Stores",
"3","526731","Bright Brothers","287.90","7.00","2.49","85","53","88","A+","12","159.55","6964","24189","-13.66","110.02","-41.76","5.87","51.64","92.00","92.00","-","Chemicals-Plastics      ",
"4","524506","Coral Laboratories","787.95","-13.65","-1.70","85","90","89","D+","47","286.41","3473","4408","-21.13","205.90","-27.79","-5.72","42.48","57.00","88.00","-","Medical-Diversified     ",
"5","505299","KPT Industries","1214.40","57.80","5.00","85","93","90","A-","79","393.24","8299","6834","-10.71","245.20","-62.42","3.59","44.92","85.00","85.00","-","Machinery-Tools & Rel   ",
"6","543619","Concord Control Systems","1743.10","-90.75","-4.95","85","99","94","A+","13","1097.01","19976","11460","-15.47","240.86","-1.83","12.09","79.61","91.00","96.00","2022-10-10","Elec-Misc Products      ",
"7","ARIHANTACA","Arihant Academy","189.90","11.90","6.69","84","63","71","A","10","107.78","3649","19216","-5.05","69.52","-87.51","2.16","16.54","81.00","77.00","2022-12-29","Consumer Svcs-Education ",
"8","GET&D","Ge T&D India","1700.00","58.35","3.55","84","76","93","B+","40","42033.96","609816","358715","-10.05","370.39","-4.53","-1.81","37.62","52.00","80.00","-","Electrical-Power/Equipmt",
"9","BLUESTARCO","Blue Star","1903.90","-31.70","-1.64","83","93","84","B","16","37285.08","940150","493802","-13.44","137.79","44.33","7.44","31.80","78.00","77.00","-","Bldg-A/C & Heating Prds ",
"10","ZOMATO","Zomato","279.80","13.70","5.15","83","76","87","B+","24","235082.72","19141764","68412309","-6.19","163.47","0.79","1.35","36.54","76.00","80.00","2021-07-23","Retail-Internet         ",
"11","DIXON","Dixon Technologies (India)","14560.00","1050.25","7.77","83","95","88","B","34","80838.29","9150188","628447","0.43","168.69","94.31","5.25","52.65","73.00","85.00","2017-09-18","Hsehold-Appliances/Wares",
"12","531169","Skp Securities","170.00","3.95","2.38","83","99","89","A-","95","113.06","1282","7544","-15.00","184.82","6.52","6.00","37.40","80.00","81.00","-","Finance-Invest Bnk/Bkrs ",
"13","SMSLIFE","Sms Lifesciences India","1439.00","9.55","0.67","83","73","93","A+","47","432.12","11724","8147","-17.75","202.82","-99.32","5.71","69.80","90.00","94.00","-","Medical-Diversified     ",
"14","RBMINFRA","Rbm Infracon","920.00","-58.35","-5.96","83","84","95","A-","45","988.43","52234","56776","-12.30","424.30","50.42","27.85","60.68","95.00","94.00","2023-01-04","Oil&Gas-Field Services  ",
"15","539176","Hawa Engineers Dt","218.50","14.00","6.85","82","92","77","A-","69","72.11","383","1751","0.21","124.23","256.31","22.59","25.53","90.00","78.00","-","Metal Proc & Fabrication",
"16","STAR","Strides Pharma Science","1443.00","32.80","2.33","82","64","91","A+","36","12967.92","649216","449907","-3.24","201.97","3.97","10.05","51.36","89.00","89.00","-","Medical-Generic Drugs   ",
"17","539854","Halder Venture","800.00","11.00","1.39","82","87","92","A","108","249.40","2195","2744","-11.87","268.18","-70.23","-7.91","45.25","41.00","86.00","-","Food-Misc Preparation   ",
"18","NSIL","Nalwa Sons Investments","4715.00","78.90","1.70","81","61","73","B+","91","2381.10","69443","14728","-8.00","97.24","8.07","1.53","22.59","66.00","73.00","-","Finance-Investment Mgmt ",
"19","PITTIENG","Pitti Engineering","1337.00","30.60","2.34","81","95","83","B+","40","4633.15","118394","88552","-7.60","123.60","-30.48","0.75","37.91","71.00","82.00","-","Electrical-Power/Equipmt",
"20","NETWEB","Netweb Technologies India Ltd","2469.00","21.90","0.89","81","99","87","B","17","13793.57","412204","166952","-15.59","231.32","-30.43","-2.89","22.33","46.00","65.00","2023-07-27","Computer Sftwr-Database ",
"21","523676","Golkunda Dias.& Jewelr.","257.95","4.75","1.88","81","99","88","A+","85","176.33","2751","10666","-15.12","158.37","-41.68","8.22","33.38","86.00","83.00","-","Retail/Whlsle-Jewelry   ",
"22","DPABHUSHAN","D P Abhushan","1619.95","61.35","3.94","81","96","88","B","85","3524.15","132896","82037","-8.71","202.32","-47.37","7.73","41.70","78.00","81.00","2017-10-23","Retail/Whlsle-Jewelry   ",
"23","JUBLPHARMA","Jubilant Pharmova","1145.05","62.10","5.73","81","59","89","B+","47","17249.34","1172830","1024261","-8.19","239.75","-80.52","10.41","49.51","88.00","89.00","-","Medical-Diversified     ",
