Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","TRENT","Trent","7147.65","-104.80","-1.45","87","99","92","A-","7","257815.17","6728176","941313","-14.35","237.49","-56.80","-2.52","44.07","72.00","84.00","-","Retail-Department Stores",
"2","DIXON","Dixon Technologies (India)","14015.30","-160.30","-1.13","86","95","90","B-","47","84822.54","9373811","668827","-11.85","177.90","-21.74","2.00","47.35","77.00","83.00","2017-09-18","Hsehold-Appliances/Wares",
"3","KAYNES","Kaynes Technology India","5384.95","115.15","2.19","85","99","88","B+","11","33732.52","2671630","496129","-8.88","144.20","38.30","0.46","40.19","75.00","87.00","2022-11-22","Elec-Misc Products      ",
"4","HIRECT","Hind Rectifiers","1160.60","55.25","5.00","84","71","90","B+","11","1894.35","60742","52337","-3.89","142.88","19.43","19.04","49.82","93.00","90.00","-","Elec-Misc Products      ",
"5","524506","Coral Laboratories","830.00","-9.75","-1.16","84","91","91","C-","45","300.04","3824","4607","-16.92","205.25","-71.02","-5.52","40.65","62.00","88.00","-","Medical-Diversified     ",
"6","STAR","Strides Pharma Science","1543.95","18.45","1.21","84","65","92","A","35","14028.19","558553","361769","-7.82","226.66","-55.46","7.14","51.35","87.00","91.00","-","Medical-Generic Drugs   ",
"7","543619","Concord Control Systems","1630.00","2.60","0.16","83","99","91","B+","11","973.51","17702","10860","-20.95","202.49","-97.70","-7.61","48.57","69.00","92.00","2022-10-10","Elec-Misc Products      ",
"8","URBAN","Urban Enviro Waste Mgmt Ltd","519.60","0.00","0.00","82","97","82","A-","30","224.99","10267","19760","-9.63","119.80","199.60","16.90","34.20","90.00","87.00","2023-06-22","Pollution Control       ",
"9","GENESYS","Genesys International","773.30","-44.45","-5.44","82","74","85","A-","55","3245.98","321641","415933","-9.65","173.91","773.70","6.47","30.19","83.00","83.00","-","Computer-Tech Services  ",
"10","LUPIN","Lupin (Nse)","2182.00","23.75","1.10","81","57","77","B+","35","98458.29","2404427","1101937","-5.62","91.33","-23.73","-1.79","20.38","66.00","76.00","-","Medical-Generic Drugs   ",
"11","REMUS","Remus Pharmaceuticals Ltd","2580.00","-18.75","-0.72","81","4","81","B","31","1531.18","14479","5612","-8.99","116.56","-80.40","0.55","30.29","79.00","79.00","2023-05-29","Medical-Whlsle Drg/Suppl",
"12","ARIHANTACA","Arihant Academy","210.20","0.00","0.00","81","63","82","A-","12","127.28","2304","10960","-10.55","100.19","-27.01","8.14","30.62","86.00","88.00","2022-12-29","Consumer Svcs-Education ",
"13","526731","Bright Brothers","290.10","-8.25","-2.77","81","53","89","A+","14","169.46","4398","15162","-13.00","123.07","-76.75","0.11","51.77","88.00","93.00","-","Chemicals-Plastics      ",
"14","WOMANCART","Womancart Ltd","287.75","0.00","0.00","81","83","89","B","80","142.44","737","2560","-12.78","190.66","-37.50","-2.82","50.67","46.00","90.00","2023-10-27","Cosmetics/Personal Care ",
"15","NETWEB","Netweb Technologies India Ltd","2664.05","10.80","0.41","81","99","91","A-","20","14955.57","490358","184065","-9.69","253.30","-73.71","1.62","25.30","75.00","72.00","2023-07-27","Computer Sftwr-Database ",
"16","VMART","V-Mart Retail","4260.00","-221.55","-4.94","81","39","91","B+","7","8872.13","146109","34298","-5.33","179.05","166.97","12.35","57.56","88.00","92.00","-","Retail-Department Stores",
"17","JUBLPHARMA","Jubilant Pharmova","1212.00","79.95","7.06","81","59","92","B","45","18031.41","826420","681865","-2.82","205.59","-33.30","3.99","46.02","87.00","88.00","-","Medical-Diversified     ",
"18","542668","Evans Electric","405.00","41.45","11.40","80","97","85","B+","134","99.76","1794","4430","0.97","132.00","407.90","19.82","35.00","92.00","83.00","2019-05-13","Machinery-Gen Industrial",
"19","531201","Shilchar Technologies","7109.00","26.05","0.37","80","96","86","B","65","5402.17","101317","14252","-8.35","220.34","-30.18","14.19","34.94","87.00","79.00","-","Electrical-Power/Equipmt",
"20","543744","Rex Sealing And Packing Industries","208.00","0.00","0.00","80","63","86","C","134","46.18","678","3260","-24.86","N/A","-69.33","N/A","N/A","69.00","86.00","2023-01-12","Machinery-Gen Industrial",
"21","TAINWALCHM","Tainwala Chpt.India","283.51","11.99","4.42","80","68","86","C+","14","254.25","13980","49310","-14.42","126.27","-52.30","16.55","51.43","90.00","91.00","-","Chemicals-Plastics      ",
"22","DYCL","Dynamic Cables","835.00","26.55","3.28","80","87","87","A-","38","1958.79","138526","165899","-1.50","139.51","27.41","42.01","58.19","96.00","93.00","2017-12-14","Telecom-Fiber Optics    ",
"23","PRIMESECU","Prime Securities","326.00","7.15","2.24","80","96","87","B+","81","1069.68","36803","112894","-4.09","122.89","-57.15","7.46","42.17","85.00","88.00","-","Finance-Invest Bnk/Bkrs ",
"24","PRUDENT","Prudent Corporate Advisory Services","3005.00","291.55","10.74","80","95","88","A-","67","11235.58","151533","50427","5.55","148.13","838.50","9.16","47.35","83.00","88.00","2022-05-20","Finance-Investment Mgmt ",
"25","ZENTEC","Zen Technologies","1868.95","60.95","3.37","80","56","88","B+","87","15195.15","798909","427464","-6.44","162.77","-31.60","3.82","46.05","74.00","88.00","-","Aerospace/Defense       ",
"26","539854","Halder Venture","823.85","25.05","3.14","80","87","90","A","118","252.50","1284","1558","-9.25","272.75","98.46","-3.93","37.44","61.00","75.00","-","Food-Misc Preparation   ",
"27","MOTILALOFS","Motilal Oswal Finl.Svs.","920.40","-3.60","-0.39","80","98","93","B+","81","55308.24","2466806","2680146","-13.50","283.40","-62.12","15.75","56.57","92.00","90.00","-","Finance-Invest Bnk/Bkrs ",
"28","RSSOFTWARE","Rs Software (India)","247.00","-2.25","-0.90","80","79","93","C","32","640.77","17280","69961","-32.73","356.08","41.28","-10.99","11.35","17.00","36.00","-","Computer Sftwr-Desktop  ",
"29","505978","Triton Valves","4925.00","-58.00","-1.16","80","68","94","B+","54","589.99","6127","1244","-11.65","243.66","-87.46","2.06","48.85","85.00","90.00","-","Auto/Truck-Original Eqp ",
"30","TARIL","Transformers And Rtf. (India)","926.15","44.10","5.00","80","98","95","A","65","13238.07","235735","254532","2.21","451.28","44.73","21.27","60.05","91.00","82.00","-","Electrical-Power/Equipmt",
"31","543620","Insolation Energy","3829.00","293.90","8.31","80","99","97","A","93","7364.32","98589","25748","-3.79","579.83","26.22","-1.13","46.26","59.00","85.00","2022-10-10","Energy-Solar            ",
"32","GENUSPOWER","Genus Power Infr.","410.85","-5.50","-1.32","79","80","77","A-","65","12651.05","528984","1287535","-13.79","103.59","-76.65","0.50","27.10","71.00","78.00","-","Electrical-Power/Equipmt",
"33","VOLTAS","Voltas (Nse)","1633.70","-64.20","-3.78","79","49","78","B","47","56180.96","2657963","1626959","-16.00","109.32","20.32","-6.33","19.17","51.00","65.00","-","Hsehold-Appliances/Wares",
"34","543578","Olatech Solutions","190.50","-2.50","-1.30","79","98","81","B-","94","83.55","4240","22255","-32.96","132.08","-87.53","-14.39","11.72","39.00","65.00","2022-08-29","Computer Sftwr-Enterprse",
