Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","524506","Coral Laboratories","891.50","-18.15","-2.00","87","90","91","B+","62","325.02","3909","4385","-10.76","247.19","-83.24","9.50","65.30","82.00","94.00","-","Medical-Diversified     ",
"2","543619","Concord Control Systems","1890.00","0.00","0.00","87","99","93","A+","14","1130.60","22170","11730","-8.34","251.30","-89.34","21.95","91.46","91.00","96.00","2022-10-10","Elec-Misc Products      ",
"3","TRENT","Trent","7799.95","-45.45","-0.58","86","99","93","A+","4","278893.77","7276066","932835","-1.76","303.36","-15.57","19.78","75.66","88.00","88.00","-","Retail-Department Stores",
"4","BLUESTARCO","Blue Star","2120.85","-13.95","-0.65","85","93","86","A+","15","41122.22","980944","462524","-3.47","162.26","10.12","21.79","48.62","84.00","79.00","-","Bldg-A/C & Heating Prds ",
"5","RBMINFRA","Rbm Infracon","916.85","43.65","5.00","85","83","95","B+","41","882.19","47742","52072","-8.32","526.62","-45.08","22.93","47.60","92.00","91.00","2023-01-04","Oil&Gas-Field Services  ",
"6","ARIHANTACA","Arihant Academy","185.00","0.30","0.16","84","62","68","A","7","111.84","3952","21360","-7.50","75.90","-88.76","10.17","22.83","81.00","75.00","2022-12-29","Consumer Svcs-Education ",
"7","ZOMATO","Zomato","282.30","-1.60","-0.56","84","75","89","A","17","250807.91","18993197","67280188","-5.35","185.90","-37.17","10.78","49.16","84.00","84.00","2021-07-23","Retail-Internet         ",
"8","526731","Bright Brothers","307.45","14.60","4.99","84","53","89","A+","6","166.34","7136","23210","-7.80","118.95","-72.96","17.72","61.90","95.00","94.00","-","Chemicals-Plastics      ",
"9","543172","Cospower Engineering","421.70","20.05","4.99","83","57","75","A+","103","60.25","1092","2590","4.99","100.72","-3.47","37.46","40.58","94.00","89.00","2020-03-30","Machinery-Gen Industrial",
"10","NETWEB","Netweb Technologies India Ltd","2554.00","2.55","0.10","83","99","85","A-","23","14381.76","412900","161668","-12.68","245.44","-67.70","1.65","30.13","42.00","68.00","2023-07-27","Computer Sftwr-Database ",
"11","NEWGEN","Newgen Software Techs","1380.25","48.25","3.62","83","94","87","A","44","18686.89","452146","327583","-10.84","208.32","108.04","21.55","46.77","88.00","84.00","2018-01-29","Comp Sftwr-Spec Enterprs",
"12","DIXON","Dixon Technologies (India)","14032.50","-67.50","-0.48","83","95","87","B+","27","84370.17","9202022","655765","-3.21","180.43","-71.21","12.55","64.01","79.00","86.00","2017-09-18","Hsehold-Appliances/Wares",
"13","531889","Integrated Industries Ltd","424.80","6.15","1.47","83","76","88","A+","20","802.05","29377","69156","-3.01","179.24","-27.04","17.36","42.56","92.00","85.00","-","Electronic-Parts        ",
"14","530129","Nile","2256.00","-43.30","-1.88","83","85","93","A+","98","690.25","22380","9920","-19.37","248.41","-91.84","1.29","51.58","76.00","89.00","-","Mining-Metal Ores       ",
"15","HIRECT","Hind Rectifiers","863.00","-25.20","-2.84","82","70","83","A-","14","1522.20","39909","46244","-14.77","166.73","-51.12","4.87","28.54","76.00","76.00","-","Elec-Misc Products      ",
"16","TIPSINDLTD","Tips Industries","694.05","-7.90","-1.13","82","97","87","A+","32","8973.17","321530","463267","-11.58","133.87","-54.87","2.73","43.47","81.00","83.00","-","Leisure-Movies & Related",
"17","KAYNES","Kaynes Technology India","5578.00","94.80","1.73","82","99","88","B+","14","35098.51","2659680","476816","-3.99","154.09","-70.58","14.78","59.77","86.00","92.00","2022-11-22","Elec-Misc Products      ",
"18","522017","Fluidomat","662.90","21.55","3.36","81","97","63","C","20","315.99","4970","7498","-12.31","110.21","-85.48","-5.11","2.51","36.00","44.00","-","Electronic-Parts        ",
"19","505827","Snl Bearings","455.00","-10.80","-2.32","81","81","67","B-","79","168.25","2942","6467","-11.55","65.47","-73.08","15.44","24.52","80.00","72.00","-","Metal Proc & Fabrication",
"20","544023","Kalyani Cast Tech","558.40","-9.60","-1.69","81","4","69","B","59","123.03","13438","24065","-14.09","85.80","-60.52","24.27","21.10","90.00","82.00","2023-11-17","Containers/Packaging    ",
"21","ROCKINGDCE","Rockingdeals Circular Economy Ltd","606.20","-9.25","-1.50","81","81","76","B","136","348.28","21011","34660","-11.83","140.41","-67.54","-1.72","17.15","35.00","62.00","2023-11-30","Transport-Air Freight   ",
"22","QUESS","Quess Corp","800.85","1.80","0.23","81","98","77","A","29","11875.96","576952","720425","-8.47","99.59","-73.25","6.89","32.36","79.00","77.00","-","Comml Svcs-Staffing     ",
"23","517449","Magna Elto.Castings","811.90","15.90","2.00","81","91","85","A+","117","336.87","7140","8794","-10.78","105.15","-80.52","15.63","54.42","93.00","91.00","-","Steel-Producers         ",
"24","512589","Sita Enterprises","68.00","-0.10","-0.15","81","97","85","A+","76","20.43","160","2353","-4.90","N/A","-38.59","N/A","N/A","74.00","87.00","-","Finance-Investment Mgmt ",
"25","531169","Skp Securities","176.10","2.20","1.27","81","99","88","A+","85","118.41","1153","6550","-0.09","198.28","-11.82","14.41","47.68","75.00","80.00","-","Finance-Invest Bnk/Bkrs ",
