Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","HIRECT","Hind Rectifiers","1103.65","-58.05","-5.00","87","70","91","A","11","1990.92","54686","49550","-6.04","237.65","256.99","29.90","61.89","94.00","91.00","-","Elec-Misc Products      ",
"2","SMSLIFE","Sms Lifesciences India","1431.00","-74.60","-4.95","87","74","94","A+","40","455.14","10920","7631","-18.21","218.95","-92.52","3.19","69.81","87.00","94.00","-","Medical-Diversified     ",
"3","TRENT","Trent","7632.00","-136.05","-1.75","87","99","94","A-","6","276144.08","8944773","1172009","-8.54","299.39","-43.51","6.80","60.06","81.00","88.00","-","Retail-Department Stores",
"4","GET&D","Ge T&D India","1768.90","-55.95","-3.07","87","76","94","B","35","46724.74","723830","409198","-10.16","422.88","-54.71","7.35","45.62","76.00","81.00","-","Electrical-Power/Equipmt",
"5","EIMCOELECO","Eimco Elecon India","2772.35","-145.90","-5.00","86","93","76","B-","108","1683.25","21131","7622","-20.77","130.06","-7.57","0.09","32.71","49.00","73.00","-","Machinery-Constr/Mining ",
"6","IFBIND","Ifb Industries","2329.85","59.20","2.61","86","65","89","A","31","9200.45","192140","82469","-0.81","167.14","88.00","16.95","45.92","89.00","85.00","-","Hsehold-Appliances/Wares",
"7","524506","Coral Laboratories","850.00","1.40","0.16","86","90","90","C+","40","303.21","3869","4552","-14.91","223.83","-61.93","-3.18","45.80","60.00","87.00","-","Medical-Diversified     ",
"8","531201","Shilchar Technologies","7524.30","358.30","5.00","85","96","89","B+","35","5465.51","79825","10609","-3.00","263.76","154.27","18.30","41.39","85.00","80.00","-","Electrical-Power/Equipmt",
"9","505299","KPT Industries","1185.00","14.30","1.22","85","93","90","B","93","398.04","8081","6819","-12.87","249.41","-80.54","-1.61","41.18","73.00","81.00","-","Machinery-Tools & Rel   ",
"10","INDOTECH","Indo Tech Transformers","2400.95","-126.35","-5.00","85","97","94","A-","35","2683.99","41750","17389","-8.52","430.50","-44.48","27.82","66.16","91.00","89.00","-","Electrical-Power/Equipmt",
"11","MOTILALOFS","Motilal Oswal Finl.Svs.","961.95","-67.75","-6.58","85","98","95","A","83","61635.17","2258459","2347792","-9.59","356.60","118.14","37.66","81.93","96.00","93.00","-","Finance-Invest Bnk/Bkrs ",
"12","ARIHANTACA","Arihant Academy","229.50","0.00","0.00","84","62","85","A+","9","138.96","3084","13440","-0.22","118.57","-88.10","23.88","45.93","93.00","91.00","2022-12-29","Consumer Svcs-Education ",
"13","NETWEB","Netweb Technologies India Ltd","2748.00","66.35","2.47","84","99","87","A-","18","15115.66","461977","168114","-6.05","263.07","474.83","4.39","30.05","73.00","71.00","2023-07-27","Computer Sftwr-Database ",
"14","KAYNES","Kaynes Technology India","5653.00","42.50","0.76","84","99","89","B+","11","35913.37","2937661","519664","-4.35","159.99","-60.46","9.14","53.84","82.00","90.00","2022-11-22","Elec-Misc Products      ",
"15","NSIL","Nalwa Sons Investments","7753.00","704.80","10.00","84","61","92","A+","69","3619.96","196616","25360","5.48","199.86","266.33","48.30","81.62","96.00","95.00","-","Finance-Investment Mgmt ",
"16","DIXON","Dixon Technologies (India)","15361.45","-20.35","-0.13","84","95","92","A-","31","92040.08","8966018","583670","-0.86","203.03","-56.44","14.19","65.78","85.00","88.00","2017-09-18","Hsehold-Appliances/Wares",
"17","522195","Frontier Springs","2279.00","-46.10","-1.98","84","85","92","B+","124","915.86","18916","8300","-5.50","286.87","-67.29","12.76","53.46","90.00","90.00","-","Steel-Specialty Alloys  ",
"18","ABB","ABB India","8287.00","-496.00","-5.65","83","93","80","B","35","186118.80","2576221","310875","-9.43","128.13","8.53","10.31","26.12","76.00","68.00","-","Electrical-Power/Equipmt",
"19","AJMERA","Ajmera Real.& Infra Ida. (Nse)","889.00","20.05","2.31","83","87","81","A-","85","3145.16","118557","133360","1.63","165.31","514.08","25.06","32.20","91.00","79.00","-","Bldg-Resident/Comml     ",
"20","BLUESTARCO","Blue Star","2005.00","-17.40","-0.86","83","93","82","B","16","38957.09","1006342","501916","-8.84","148.45","-36.06","8.79","33.36","76.00","76.00","-","Bldg-A/C & Heating Prds ",
"21","ZOMATO","Zomato","265.15","7.70","2.99","83","76","82","B","32","227440.98","14780917","55745493","-11.10","154.27","58.39","-4.12","27.72","48.00","69.00","2021-07-23","Retail-Internet         ",
"22","543939","Kaka Industries Ltd","312.10","-2.40","-0.76","83","5","84","B+","64","429.61","11286","36160","-3.07","112.43","240.15","15.30","45.28","86.00","88.00","2023-07-19","Metal Proc & Fabrication",
"23","530133","Amco India","99.01","-5.21","-5.00","83","73","85","B-","10","42.83","1419","14330","-20.15","N/A","-66.63","N/A","N/A","96.00","93.00","-","Chemicals-Plastics      ",
