Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","LFIC","The Lakshmi Fin & Ind Corp","326.50","-34.85","-9.64","87","61","91","A-","86","108.41","18827","57663","-12.23","194.02","89.48","53.24","76.53","96.00","95.00","-","Finance-Investment Mgmt ",
"2","TRENT","Trent","7470.00","-142.70","-1.87","87","99","93","A+","4","270621.59","8462883","1132916","-5.92","291.40","-34.57","13.68","67.57","83.00","89.00","-","Retail-Department Stores",
"3","VMART","V-Mart Retail","4383.00","-29.85","-0.68","86","39","89","A+","4","8731.71","154707","35297","-2.06","176.67","142.10","21.22","69.21","90.00","92.00","-","Retail-Department Stores",
"4","524506","Coral Laboratories","850.00","-19.45","-2.24","85","90","91","B-","53","310.65","3713","4368","-14.91","231.85","4.65","3.28","56.18","70.00","91.00","-","Medical-Diversified     ",
"5","543619","Concord Control Systems","1850.00","25.00","1.37","85","99","92","A+","12","1091.71","21238","11480","-10.28","239.22","-49.91","14.55","81.74","88.00","96.00","2022-10-10","Elec-Misc Products      ",
"6","ARIHANTACA","Arihant Academy","198.00","7.65","4.02","84","62","70","A","8","115.26","4156","20992","-1.00","81.29","-54.27","11.06","25.60","86.00","80.00","2022-12-29","Consumer Svcs-Education ",
"7","KAYNES","Kaynes Technology India","5200.75","-265.65","-4.86","84","99","88","B+","12","34990.97","2499787","480659","-10.49","153.31","-33.36","12.29","57.16","83.00","90.00","2022-11-22","Elec-Misc Products      ",
"8","531169","Skp Securities","178.70","-3.00","-1.65","84","99","90","A+","94","123.72","1315","7358","-10.65","211.66","25.52","17.69","52.24","85.00","84.00","-","Finance-Invest Bnk/Bkrs ",
"9","GET&D","Ge T&D India","1652.00","-33.95","-2.01","84","76","93","B+","44","43168.24","579933","351049","-12.59","383.08","-45.65","1.45","43.46","46.00","77.00","-","Electrical-Power/Equipmt",
"10","HIRECT","Hind Rectifiers","900.00","5.05","0.56","83","70","84","A-","12","1533.76","42544","47271","-11.12","168.75","-44.96","4.38","28.68","73.00","71.00","-","Elec-Misc Products      ",
"11","BLUESTARCO","Blue Star","2140.00","44.15","2.11","83","93","86","A-","16","40371.94","1025745","479320","-2.71","157.48","-6.62","17.82","44.26","84.00","82.00","-","Bldg-A/C & Heating Prds ",
"12","DIXON","Dixon Technologies (India)","13599.00","-596.80","-4.20","83","95","87","B+","31","84943.41","8604087","632700","-6.20","182.33","-27.24","11.98","62.65","74.00","86.00","2017-09-18","Hsehold-Appliances/Wares",
"13","526731","Bright Brothers","311.90","8.75","2.89","83","53","90","A+","11","172.19","7433","23830","-6.46","126.65","-51.70","17.88","65.54","93.00","93.00","-","Chemicals-Plastics      ",
"14","PKTEA","The Peria Krl.Tea","567.95","26.15","4.83","82","63","78","A-","46","167.74","984","1733","2.46","106.71","1248.76","27.65","49.88","90.00","88.00","-","Food-Packaged           ",
"15","543578","Olatech Solutions","249.80","11.40","4.78","82","98","84","B","143","103.20","6950","27824","-12.09","198.00","-56.78","17.98","45.18","88.00","87.00","2022-08-29","Computer Sftwr-Enterprse",
"16","ZOMATO","Zomato","268.85","-5.30","-1.93","82","76","86","A-","27","242194.39","18090446","67288250","-9.86","174.15","-39.42","5.62","42.28","75.00","79.00","2021-07-23","Retail-Internet         ",
"17","STAR","Strides Pharma Science","1425.00","24.00","1.71","82","64","89","A+","47","12883.32","634917","445556","-1.38","200.00","22.17","11.63","52.45","86.00","87.00","-","Medical-Generic Drugs   ",
"18","505978","Triton Valves","4827.00","-253.00","-4.98","82","67","94","A","48","601.47","10441","2163","-13.41","250.34","32.96","17.26","69.15","91.00","91.00","-","Auto/Truck-Original Eqp ",
"19","RBMINFRA","Rbm Infracon","981.30","46.35","4.96","82","83","95","A-","52","944.58","52696","53700","-1.87","508.69","130.17","27.30","55.79","94.00","90.00","2023-01-04","Oil&Gas-Field Services  ",
"20","VOLTAMP","Voltamp Transformers","12566.00","-393.95","-3.04","81","95","85","C","44","13111.58","277219","22061","-15.09","207.69","-23.45","-4.58","25.34","32.00","58.00","-","Electrical-Power/Equipmt",
"21","523676","Golkunda Dias.& Jewelr.","273.95","3.00","1.11","81","99","88","A+","95","188.69","3358","12258","-9.86","176.48","-39.84","16.98","44.44","88.00","86.00","-","Retail/Whlsle-Jewelry   ",
"22","524136","Pee Cee Cosma Sope","714.00","-6.30","-0.87","81","78","88","A+","65","190.59","4570","6401","-9.39","138.39","-12.94","27.39","62.89","93.00","91.00","-","Soap & Clng Preparatns  ",
"23","EIMCOELECO","Eimco Elecon India","2940.20","-41.45","-1.39","81","93","89","A-","120","1719.82","20805","7076","-15.97","244.74","-21.14","1.00","40.60","61.00","79.00","-","Machinery-Constr/Mining ",
"24","DPABHUSHAN","D P Abhushan","1621.90","-30.00","-1.82","81","96","89","B","95","3735.11","131505","81081","-8.60","220.42","-29.59","15.56","52.27","81.00","84.00","2017-10-23","Retail/Whlsle-Jewelry   ",
"25","POWERINDIA","Hitachi Energy India","14100.00","-178.90","-1.25","81","86","92","A","44","60516.83","633499","44929","-5.05","266.51","-45.10","17.34","55.80","81.00","85.00","-","Electrical-Power/Equipmt",
"26","BASF","Basf India (Nse)","8080.05","163.90","2.07","81","79","93","A","82","34265.85","606990","75122","-2.01","225.77","53.97","18.98","74.58","89.00","93.00","-","Chemicals-Specialty     ",
"27","539854","Halder Venture","821.75","-43.25","-5.00","81","87","93","A","108","273.43","2425","2951","-9.48","303.64","-97.97","1.15","61.46","64.00","90.00","-","Food-Misc Preparation   ",
"28","SMSPHARMA","Sms Pharmaceuticals","373.60","-0.65","-0.17","81","66","93","B+","47","3168.10","209453","560635","-6.13","234.60","30.98","14.96","73.33","88.00","91.00","-","Medical-Generic Drugs   ",
"29","543244","Shine Fashions (India)","349.45","0.00","0.00","81","98","95","A-","87","97.78","807","2310","-18.32","388.74","-78.35","4.89","126.58","81.00","90.00","2020-11-02","Apparel-Clothing Mfg    ",
"30","538564","James Warren Tea James Warren Tea","340.00","20.50","6.42","80","49","68","A+","92","118.22","2763","8126","1.49","52.80","292.80","15.57","30.51","87.00","83.00","-","Agricultural Operations ",
"31","QUICKHEAL","Quick Heal Technologies","634.50","-20.55","-3.14","80","64","80","A-","96","3524.69","213039","335759","-16.40","135.59","-60.45","2.67","27.13","71.00","72.00","-","Computer-Tech Services  ",
"32","GENESYS","Genesys International","762.50","-12.85","-1.66","80","74","80","B+","96","3073.02","357813","469263","-10.91","159.71","-32.11","3.73","29.95","69.00","71.00","-","Computer-Tech Services  ",
"33","PITTIENG","Pitti Engineering","1370.00","79.05","6.12","80","95","82","A","44","4578.35","117717","85925","-5.32","120.96","300.52","0.34","37.68","61.00","77.00","-","Electrical-Power/Equipmt",
