Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","GET&D","Ge T&D India","1796.00","20.30","1.14","87","76","94","A-","32","45466.27","709556","395076","-4.97","408.80","-48.47","5.40","45.72","74.00","80.00","-","Electrical-Power/Equipmt",
"2","543744","Rex Sealing And Packing Industries","210.00","9.00","4.48","86","63","83","D","98","44.62","563","2680","-24.13","N/A","-62.69","N/A","N/A","48.00","84.00","2023-01-12","Machinery-Gen Industrial",
"3","524506","Coral Laboratories","939.00","63.00","7.19","86","91","90","C-","47","313.00","4187","4459","-6.01","234.29","102.60","1.98","53.52","72.00","91.00","-","Medical-Diversified     ",
"4","JUSTDIAL","Just Dial","1258.00","-50.85","-3.89","85","54","78","A-","25","11130.46","658345","523327","-9.82","88.05","76.80","6.59","28.86","76.00","75.00","-","Internet-Content        ",
"5","ARIHANTACA","Arihant Academy","218.00","3.40","1.58","85","63","84","A+","10","129.94","2857","13104","0.00","104.38","16.00","20.39","38.87","92.00","88.00","2022-12-29","Consumer Svcs-Education ",
"6","539176","Hawa Engineers Dt","264.15","-29.35","-10.00","85","68","92","A","68","103.49","1728","6540","-21.85","221.82","445.69","67.60","77.13","98.00","95.00","-","Metal Proc & Fabrication",
"7","TRENT","Trent","8200.00","-34.95","-0.42","85","99","94","A+","4","292741.77","9678706","1180330","-1.47","323.39","-64.63","17.17","74.29","91.00","91.00","-","Retail-Department Stores",
"8","BLUESTARCO","Blue Star","2028.00","8.70","0.43","84","93","84","B+","15","38897.37","1054392","519917","-7.80","148.07","-62.30","10.79","35.56","77.00","75.00","-","Bldg-A/C & Heating Prds ",
"9","TAINWALCHM","Tainwala Chpt.India","259.79","0.58","0.22","84","67","86","B+","13","242.72","4836","18616","-12.23","121.64","-47.81","17.89","50.97","89.00","88.00","-","Chemicals-Plastics      ",
"10","KAYNES","Kaynes Technology India","5676.00","85.70","1.53","84","99","89","B+","11","35784.07","2842058","500715","-2.31","159.05","-21.79","11.72","56.54","85.00","90.00","2022-11-22","Elec-Misc Products      ",
"11","DIXON","Dixon Technologies (India)","15240.00","96.35","0.64","84","95","90","A-","36","90615.06","9349770","613502","0.34","198.34","-60.85","15.74","67.51","86.00","87.00","2017-09-18","Hsehold-Appliances/Wares",
