Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","LFIC","The Lakshmi Fin & Ind Corp","361.35","48.81","15.62","89","61","91","A-","86","93.76","20837","57663","-2.86","154.30","1534.45","34.30","53.46","94.00","90.00","-","Finance-Investment Mgmt ",
"2","543619","Concord Control Systems","1825.00","-40.00","-2.14","87","99","92","A+","12","1115.64","20951","11480","-11.50","246.65","-89.11","18.06","86.73","91.00","96.00","2022-10-10","Elec-Misc Products      ",
"3","524506","Coral Laboratories","869.45","2.70","0.31","85","90","91","B-","52","309.69","3798","4368","-12.97","230.82","-63.14","3.39","56.30","69.00","92.00","-","Medical-Diversified     ",
"4","TRENT","Trent","7612.70","38.05","0.50","85","99","93","A+","4","269268.96","8624550","1132916","-4.12","289.44","-50.59","13.93","67.67","85.00","88.00","-","Retail-Department Stores",
"5","ARIHANTACA","Arihant Academy","190.35","-1.50","-0.78","84","62","70","A","8","116.17","3996","20992","-4.83","82.71","-61.89","12.74","26.92","87.00","81.00","2022-12-29","Consumer Svcs-Education ",
"6","KAYNES","Kaynes Technology India","5466.40","40.65","0.75","84","99","88","B+","12","34730.77","2627474","480659","-5.91","151.42","-26.53","12.17","56.67","85.00","91.00","2022-11-22","Elec-Misc Products      ",
"7","VMART","V-Mart Retail","4412.85","383.70","9.52","84","39","89","A+","4","7972.48","155760","35297","-1.39","152.61","960.55","11.26","55.28","82.00","89.00","-","Retail-Department Stores",
"8","526731","Bright Brothers","303.15","0.45","0.15","84","53","90","A+","10","171.93","7224","23830","-9.09","126.32","-80.59","18.99","65.96","94.00","94.00","-","Chemicals-Plastics      ",
"9","531169","Skp Securities","181.70","2.35","1.31","84","99","90","A+","95","122.12","1337","7358","-9.15","207.63","131.22","16.84","50.95","85.00","86.00","-","Finance-Invest Bnk/Bkrs ",
"10","GET&D","Ge T&D India","1685.95","4.95","0.29","84","76","93","B+","44","43041.50","591851","351049","-10.79","381.66","-54.72","1.43","43.81","54.00","77.00","-","Electrical-Power/Equipmt",
"11","HIRECT","Hind Rectifiers","894.95","3.25","0.36","83","70","84","A-","12","1528.20","42305","47271","-11.62","167.78","-35.31","4.46","28.51","74.00","72.00","-","Elec-Misc Products      ",
"12","BLUESTARCO","Blue Star","2095.85","32.15","1.56","83","93","86","A-","14","39752.64","1004585","479321","-4.71","153.53","-17.62","16.61","42.59","84.00","80.00","-","Bldg-A/C & Heating Prds ",
