Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","DIXON","Dixon Technologies (India)","14905.95","669.40","4.70","87","95","92","B","34","85187.24","9764366","655065","-6.25","180.47","45.55","2.98","49.27","83.00","85.00","2017-09-18","Hsehold-Appliances/Wares",
"2","TRENT","Trent","7396.00","88.15","1.21","87","99","93","A-","7","259784.57","7277058","983918","-11.37","252.70","-63.48","-1.46","46.43","81.00","85.00","-","Retail-Department Stores",
"3","STAR","Strides Pharma Science","1489.40","-13.30","-0.89","85","65","93","A","27","13818.53","559709","375795","-11.08","221.78","-38.01","6.24","50.30","89.00","90.00","-","Medical-Generic Drugs   ",
"4","KAYNES","Kaynes Technology India","5300.00","-43.80","-0.82","84","99","88","B+","11","34206.20","2595198","489660","-10.32","147.63","-55.65","1.90","43.16","83.00","89.00","2022-11-22","Elec-Misc Products      ",
"5","524506","Coral Laboratories","805.00","-19.65","-2.38","84","91","91","C-","45","294.65","3693","4588","-19.42","199.76","-65.89","-7.12","38.98","62.00","89.00","-","Medical-Diversified     ",
"6","543709","Pngs Gargi Fashion Jewellery","914.55","-23.60","-2.52","83","99","89","B","80","971.74","21163","23140","-14.05","207.59","9.12","5.27","39.63","85.00","91.00","2022-12-20","Retail/Whlsle-Jewelry   ",
"7","543619","Concord Control Systems","1619.95","39.40","2.49","83","99","90","B+","11","945.49","17860","11025","-21.44","193.78","-54.65","-9.76","45.35","67.00","91.00","2022-10-10","Elec-Misc Products      ",
"8","543620","Insolation Energy","3324.00","11.35","0.34","83","99","96","A-","97","6900.91","85327","25670","-16.48","537.05","-26.76","-7.21","38.49","49.00","81.00","2022-10-10","Energy-Solar            ",
"9","ARIHANTACA","Arihant Academy","212.00","0.00","0.00","82","63","83","A-","12","128.37","2575","12144","-9.79","101.90","-93.41","10.18","32.45","90.00","89.00","2022-12-29","Consumer Svcs-Education ",
"10","LUPIN","Lupin (Nse)","2205.00","0.30","0.01","81","57","80","B+","27","100577.31","2473304","1121680","-4.63","96.32","-43.66","0.51","23.51","77.00","80.00","-","Medical-Generic Drugs   ",
"11","DYCL","Dynamic Cables","839.65","126.45","17.73","81","87","82","A-","68","1728.01","90665","107980","13.94","111.29","1763.76","27.74","40.49","94.00","88.00","2017-12-14","Telecom-Fiber Optics    ",
"12","PRIMESECU","Prime Securities","320.00","-1.70","-0.53","81","96","88","B+","83","1079.24","36928","115401","-5.85","129.79","-10.04","9.31","44.39","88.00","90.00","-","Finance-Invest Bnk/Bkrs ",
"13","NETWEB","Netweb Technologies India Ltd","2538.05","-11.85","-0.46","81","99","90","B+","20","14373.02","481308","189637","-13.96","243.33","-64.05","-2.18","21.16","68.00","68.00","2023-07-27","Computer Sftwr-Database ",
"14","WOMANCART","Womancart Ltd","302.90","0.00","0.00","81","83","91","B","70","149.94","814","2688","-8.18","205.96","19.05","2.42","59.17","67.00","92.00","2023-10-27","Cosmetics/Personal Care ",
"15","522195","Frontier Springs","2018.95","-41.20","-2.00","81","85","91","B+","120","811.49","14026","6947","-16.28","224.36","-94.63","-2.53","33.16","83.00","84.00","-","Steel-Specialty Alloys  ",
"16","VMART","V-Mart Retail","4474.00","84.50","1.93","81","40","92","B","7","8685.50","149074","33320","-0.58","175.20","38.96","10.96","55.60","89.00","92.00","-","Retail-Department Stores",
"17","VOLTAS","Voltas (Nse)","1772.75","10.50","0.60","80","50","82","B+","34","58310.21","2965162","1672634","-8.85","117.25","-8.88","-2.56","24.32","76.00","75.00","-","Hsehold-Appliances/Wares",
"18","AJMERA","Ajmera Real.& Infra Ida. (Nse)","911.00","30.60","3.48","80","87","86","A-","76","3186.61","159848","175464","-3.44","158.05","100.11","22.90","31.21","93.00","85.00","-","Bldg-Resident/Comml     ",
"19","531201","Shilchar Technologies","6990.00","-9.10","-0.13","80","96","86","B","59","5338.21","95337","13639","-9.88","216.54","30.14","13.43","34.49","87.00","80.00","-","Electrical-Power/Equipmt",
"20","543744","Rex Sealing And Packing Industries","207.40","-0.35","-0.17","80","63","86","C","130","46.12","680","3280","-25.07","N/A","-69.51","N/A","N/A","72.00","87.00","2023-01-12","Machinery-Gen Industrial",
"21","509597","Hardcastle & Waud","1089.95","30.95","2.92","80","97","87","B-","72","71.91","256","235","-19.55","N/A","-31.06","N/A","N/A","78.00","81.00","-","Chemicals-Specialty     ",
"22","TARIL","Transformers And Rtf. (India)","860.00","20.40","2.43","80","98","94","A","59","12600.97","213142","247840","-4.32","424.75","-10.18","16.64","54.28","89.00","80.00","-","Electrical-Power/Equipmt",
"23","505978","Triton Valves","4950.10","-48.95","-0.98","80","68","94","A-","52","591.89","6633","1340","-11.20","244.76","-56.87","3.04","50.86","88.00","92.00","-","Auto/Truck-Original Eqp ",
"24","WEL","Wonder Electricals","1491.00","27.60","1.89","80","83","96","A-","34","1961.10","96547","64753","-7.96","455.58","-61.45","1.61","48.90","73.00","82.00","2019-08-06","Hsehold-Appliances/Wares",
"25","531525","Ace Software Exports","472.00","16.85","3.70","80","64","99","A+","49","291.30","7446","15775","3.24","2067.38","-27.93","22.71","104.58","94.00","96.00","-","Computer-Tech Services  ",
"26","CARTRADE","Cartrade Tech","1053.10","10.90","1.05","79","28","77","A","35","4929.61","437563","415500","-1.97","67.05","21.39","10.66","27.41","87.00","81.00","2021-08-20","Retail-Internet         ",
"27","544143","Royal Sense Ltd","200.00","0.00","0.00","79","70","81","A-","10","98.00","1904","9520","-14.20","93.18","-36.97","18.97","35.66","92.00","89.00","2024-03-19","Medical-Systems/Equip   ",
"28","NUVAMA","Nuvama Wealth Management Ltd","6580.00","22.25","0.34","79","62","83","B-","73","23459.69","1016998","154559","-11.03","150.42","-17.06","-1.25","26.40","73.00","77.00","-","Finance-Investment Mgmt ",
"29","543578","Olatech Solutions","194.00","-5.80","-2.90","79","98","83","B-","100","86.49","4346","22403","-31.73","140.26","-33.94","-10.95","16.09","61.00","72.00","2022-08-29","Computer Sftwr-Enterprse",
"30","CHOICEIN","Choice International","480.30","10.55","2.25","79","95","86","A+","83","9365.83","313364","652433","-3.57","133.71","-10.40","2.32","31.38","81.00","81.00","-","Finance-Invest Bnk/Bkrs ",
"31","HIRECT","Hind Rectifiers","1056.00","38.50","3.78","79","71","86","B","11","1743.79","55637","52687","-12.55","123.90","-34.03","10.56","38.87","90.00","87.00","-","Elec-Misc Products      ",
"32","SYMPHONY","Symphony","1503.95","-127.50","-7.82","79","89","87","A","34","11203.33","293197","194951","-20.04","98.96","231.16","0.63","37.72","76.00","87.00","-","Hsehold-Appliances/Wares",
