Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","543744","Rex Sealing And Packing Industries","260.00","15.00","6.12","86","63","90","B","124","54.39","780","3000","-6.07","189.60","-50.00","14.81","67.91","87.00","91.00","2023-01-12","Machinery-Gen Industrial",
"2","NETWEB","Netweb Technologies India Ltd","2824.00","-14.00","-0.49","86","99","91","A-","20","15996.95","545441","193145","-5.23","270.62","-12.25","7.70","31.14","81.00","74.00","2023-07-27","Computer Sftwr-Database ",
"3","DIXON","Dixon Technologies (India)","15399.90","-221.20","-1.42","86","95","92","B+","36","93471.98","11015949","715326","-3.56","200.02","-22.16","10.49","57.54","85.00","85.00","2017-09-18","Hsehold-Appliances/Wares",
"4","517370","Incap","107.10","-2.15","-1.97","85","87","92","A","8","56.08","783","7310","-12.78","157.54","-88.78","18.26","51.63","94.00","92.00","-","Electronic-Parts        ",
"5","KAYNES","Kaynes Technology India","5615.00","70.70","1.28","84","98","88","A-","7","35489.62","3136999","558682","-7.00","143.61","-27.35","4.10","43.70","74.00","87.00","2022-11-22","Elec-Misc Products      ",
"6","543578","Olatech Solutions","243.25","-12.80","-5.00","84","98","88","B","93","110.84","5022","20646","-14.39","167.89","-46.24","11.23","45.42","92.00","89.00","2022-08-29","Computer Sftwr-Enterprse",
"7","524506","Coral Laboratories","860.00","-7.45","-0.86","84","90","89","C-","41","309.94","2081","2420","-13.91","151.51","-73.72","-1.59","41.97","64.00","86.00","-","Medical-Diversified     ",
"8","543619","Concord Control Systems","1819.85","48.50","2.74","84","99","92","A-","7","1059.62","17365","9542","-11.75","229.25","-13.54","-0.09","57.79","76.00","91.00","2022-10-10","Elec-Misc Products      ",
"9","SHAILY","Shaily Engineering Plastics","1139.70","10.05","0.89","84","93","93","A","14","5181.48","216336","189818","-4.06","221.11","-37.50","13.71","64.50","88.00","87.00","-","Chemicals-Plastics      ",
"10","MOTILALOFS","Motilal Oswal Finl.Svs.","974.30","-23.35","-2.34","84","97","94","A-","65","59716.74","2750178","2822722","-8.43","291.70","-4.01","20.20","63.53","92.00","91.00","-","Finance-Invest Bnk/Bkrs ",
"11","504084","Kaycee Industries","2276.35","-119.80","-5.00","84","96","98","B+","87","760.54","9322","4095","-53.52","935.50","-81.05","-35.69","44.18","1.00","94.00","-","Electrical-Power/Equipmt",
"12","TEJASNET","Tejas Networks","1343.00","-4.20","-0.31","83","65","75","C","81","23646.05","1527814","1137613","-10.17","106.86","71.09","7.21","22.24","78.00","58.00","2017-06-27","Computer-Networking     ",
"13","526731","Bright Brothers","290.00","-8.85","-2.96","83","52","87","A+","14","169.75","2520","8689","-13.03","123.44","-64.00","0.04","48.33","78.00","91.00","-","Chemicals-Plastics      ",
"14","GVT&D","GE Vernova T&D India Ltd","1777.15","84.60","5.00","83","77","92","B-","87","43337.24","777153","437303","-9.74","352.80","-0.55","-0.79","26.54","44.00","62.00","-","Electrical-Power/Equipmt",
"15","505750","Josts Engineering","1126.00","-66.95","-5.61","82","98","81","C","124","556.39","7700","6838","-17.21","134.56","555.16","3.77","29.18","72.00","71.00","-","Machinery-Gen Industrial",
"16","BBOX","Black Box","566.50","26.95","4.99","82","89","87","B+","57","9068.49","118142","208547","-3.00","157.17","341.03","7.70","51.46","73.00","90.00","-","Computer-Tech Services  ",
"17","INDRAMEDCO","Indraprastha Med. (Nse) Corp.","467.90","0.90","0.19","82","95","91","A-","44","4281.13","161498","345155","-3.33","202.27","59.33","7.25","62.74","86.00","91.00","-","Medical-Hospitals       ",
"18","STAR","Strides Pharma Science","1507.00","-42.60","-2.75","82","65","92","A-","37","14249.81","523747","347543","-10.03","228.10","-74.41","6.34","49.20","80.00","88.00","-","Medical-Generic Drugs   ",
