Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","531201","Shilchar Technologies","7150.00","-19.85","-0.28","87","96","88","B+","46","5468.44","93315","13051","-7.82","224.27","102.18","16.50","38.35","90.00","82.00","-","Electrical-Power/Equipmt",
"2","IFBIND","Ifb Industries","1826.00","-201.85","-9.95","85","66","83","B+","32","8216.65","157651","86337","-22.62","138.57","100.87","3.61","27.78","80.00","82.00","-","Hsehold-Appliances/Wares",
"3","NETWEB","Netweb Technologies India Ltd","2545.35","33.40","1.33","85","99","89","A-","17","14159.11","486533","191146","-13.71","238.22","-54.80","-3.46","19.74","65.00","67.00","2023-07-27","Computer Sftwr-Database ",
"4","DIXON","Dixon Technologies (India)","14403.80","466.60","3.35","85","95","90","B-","32","83396.02","9316378","646800","-9.41","174.57","30.04","1.09","46.74","82.00","83.00","2017-09-18","Hsehold-Appliances/Wares",
"5","TRENT","Trent","7310.15","-51.30","-0.70","85","99","93","A-","6","261689.98","7299967","998607","-12.40","262.43","-67.76","-0.52","48.15","84.00","86.00","-","Retail-Department Stores",
"6","KAYNES","Kaynes Technology India","5329.70","28.10","0.53","84","99","88","B+","13","33936.07","2689121","504554","-9.82","145.67","-69.50","1.20","42.56","83.00","89.00","2022-11-22","Elec-Misc Products      ",
"7","524506","Coral Laboratories","830.00","41.25","5.23","84","91","90","C","38","281.82","3814","4595","-16.92","194.86","-87.73","-11.01","33.34","52.00","87.00","-","Medical-Diversified     ",
"8","522195","Frontier Springs","2060.15","-42.00","-2.00","84","85","92","B+","126","828.04","16205","7866","-14.57","233.67","-98.17","-0.50","36.26","85.00","87.00","-","Steel-Specialty Alloys  ",
"9","STAR","Strides Pharma Science","1528.25","19.40","1.29","84","65","93","A","29","13875.08","595432","389617","-8.76","223.09","-55.54","6.96","51.54","89.00","91.00","-","Medical-Generic Drugs   ",
"10","543619","Concord Control Systems","1600.00","-32.15","-1.97","83","99","91","B+","13","976.35","17624","11015","-22.41","203.37","-72.76","-6.50","50.60","78.00","93.00","2022-10-10","Elec-Misc Products      ",
