Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","524506","Coral Laboratories","880.00","-11.50","-1.29","87","90","91","B+","64","318.53","3773","4287","-11.91","240.27","81.34","6.82","61.36","76.00","93.00","-","Medical-Diversified     ",
"2","543619","Concord Control Systems","1850.00","-45.00","-2.37","86","99","93","A+","14","1133.59","21488","11615","-10.28","252.23","-87.09","21.12","90.82","91.00","96.00","2022-10-10","Elec-Misc Products      ",
"3","TRENT","Trent","7527.90","-305.80","-3.90","86","99","93","A+","4","278477.85","8503365","1129580","-5.19","302.76","-43.27","18.69","74.37","89.00","90.00","-","Retail-Department Stores",
"4","BLUESTARCO","Blue Star","2088.45","-31.05","-1.46","85","93","86","A","16","40827.50","977052","467836","-4.95","160.38","27.84","20.34","46.99","87.00","82.00","-","Bldg-A/C & Heating Prds ",
"5","RBMINFRA","Rbm Infracon","962.65","45.80","5.00","85","83","95","B+","44","926.29","50520","52480","-3.74","526.69","11.28","27.76","54.24","93.00","91.00","2023-01-04","Oil&Gas-Field Services  ",
"6","ARIHANTACA","Arihant Academy","190.00","0.95","0.50","84","62","70","A","5","114.47","4058","21360","-5.00","80.05","-92.51","11.91","25.40","86.00","79.00","2022-12-29","Consumer Svcs-Education ",
"7","NETWEB","Netweb Technologies India Ltd","2518.00","-30.15","-1.18","84","99","85","A-","19","14363.16","406385","161392","-13.91","245.00","-62.14","1.43","29.44","43.00","66.00","2023-07-27","Computer Sftwr-Database ",
"8","KAYNES","Kaynes Technology India","5426.70","-126.15","-2.27","84","99","88","B+","14","35544.35","2583983","476161","-6.60","157.31","-65.05","15.52","61.05","86.00","91.00","2022-11-22","Elec-Misc Products      ",
"9","522195","Frontier Springs","2098.95","33.20","1.61","84","84","89","B+","118","813.70","16191","7714","-12.96","243.72","-60.23","9.22","43.79","82.00","84.00","-","Steel-Specialty Alloys  ",
"10","526731","Bright Brothers","313.00","5.55","1.81","84","53","90","A+","10","174.63","7279","23256","-6.13","129.87","-41.83","22.19","69.27","94.00","94.00","-","Chemicals-Plastics      ",
"11","ROCKINGDCE","Rockingdeals Circular Economy Ltd","600.00","-16.00","-2.60","83","81","75","B","140","348.59","20553","34255","-12.73","140.63","-54.02","-1.73","16.89","33.00","63.00","2023-11-30","Transport-Air Freight   ",
"12","DIXON","Dixon Technologies (India)","13780.00","-257.65","-1.84","83","95","87","B+","25","83997.09","8892937","645351","-4.95","179.19","-65.86","11.68","62.45","80.00","86.00","2017-09-18","Hsehold-Appliances/Wares",
"13","ZOMATO","Zomato","273.90","-4.25","-1.53","83","75","88","A-","21","245728.14","18429550","67285688","-8.16","179.27","-55.21","8.05","45.54","79.00","82.00","2021-07-23","Retail-Internet         ",
"14","531889","Integrated Industries Ltd","432.95","8.90","2.10","83","76","89","A+","20","812.39","30388","70189","-1.15","182.84","9.56","17.59","43.88","92.00","86.00","-","Electronic-Parts        ",
"15","NEWGEN","Newgen Software Techs","1363.45","-51.30","-3.63","83","94","89","A+","29","19847.81","452199","331658","-11.92","227.47","-30.31","28.19","55.28","91.00","89.00","2018-01-29","Comp Sftwr-Spec Enterprs",
"16","531169","Skp Securities","181.00","3.65","2.06","83","99","90","A+","81","120.76","1201","6635","0.58","204.20","286.53","16.10","49.95","85.00","86.00","-","Finance-Invest Bnk/Bkrs ",
"17","NAUKRI","Info Edge (India) (Nse)","8170.55","-0.20","0.00","82","57","75","A+","28","105879.85","2151731","263352","-1.09","105.71","-53.15","10.08","33.56","77.00","77.00","-","Internet-Content        ",
"18","HIRECT","Hind Rectifiers","888.00","19.10","2.20","82","70","82","A-","14","1489.12","41179","46373","-12.30","160.93","10.67","2.26","25.50","70.00","70.00","-","Elec-Misc Products      ",
"19","544023","Kalyani Cast Tech","538.15","-28.30","-5.00","81","4","69","B","58","122.69","12894","23960","-17.21","85.30","-46.79","23.45","20.55","87.00","77.00","2023-11-17","Containers/Packaging    ",
"20","LFIC","The Lak.Fin.& Indl.","312.54","52.09","20.00","81","61","75","B","86","78.14","7706","24655","15.76","111.92","2812.98","12.97","28.37","79.00","77.00","-","Finance-Investment Mgmt ",
"21","QUESS","Quess Corp","780.00","-5.20","-0.66","81","98","76","A","31","11670.11","563280","722154","-10.86","96.13","-74.81","4.56","29.74","71.00","73.00","-","Comml Svcs-Staffing     ",
"22","544143","Royal Sense Ltd","197.90","7.90","4.16","81","69","77","B+","24","93.10","1282","6480","0.10","83.52","640.74","26.78","36.78","91.00","68.00","2024-03-19","Medical-Systems/Equip   ",
"23","543172","Cospower Engineering","442.75","21.05","4.99","81","57","78","A+","102","63.25","1094","2470","4.99","110.74","-59.51","42.83","47.31","96.00","92.00","2020-03-30","Machinery-Gen Industrial",
"24","517449","Magna Elto.Castings","796.10","-15.80","-1.95","81","91","85","A+","109","343.60","6997","8789","-12.52","109.25","-91.91","16.82","56.96","92.00","91.00","-","Steel-Producers         ",
"25","512589","Sita Enterprises","71.40","3.40","5.00","81","97","85","A+","86","20.40","168","2346","-0.14","N/A","50.72","N/A","N/A","78.00","87.00","-","Finance-Investment Mgmt ",
"26","524136","Pee Cee Cosma Sope","705.00","-7.45","-1.05","81","78","86","A+","83","188.51","4501","6385","-10.53","135.79","-85.15","28.41","62.21","93.00","91.00","-","Soap & Clng Preparatns  ",
"27","POWERINDIA","Hitachi Energy India","13957.05","309.35","2.27","81","86","90","A","53","57841.68","630817","45197","-2.95","250.31","-36.84","13.34","50.48","76.00","83.00","-","Electrical-Power/Equipmt",
"28","STAR","Strides Pharma Science","1400.50","-9.15","-0.65","81","64","90","A+","65","12962.86","638589","455972","-3.08","201.85","-68.16","13.94","54.83","88.00","87.00","-","Medical-Generic Drugs   ",
"29","530129","Nile","2208.95","-45.05","-2.00","81","85","92","A+","97","676.65","21599","9778","-21.05","241.54","-87.44","-1.00","47.93","65.00","87.00","-","Mining-Metal Ores       ",
"30","539854","Halder Venture","870.00","-13.00","-1.47","81","87","93","A","126","279.12","2643","3038","-4.16","312.04","-90.16","3.79","66.57","68.00","92.00","-","Food-Misc Preparation   ",
"31","SMSLIFE","Sms Lifesciences India","1430.00","-25.00","-1.72","81","73","93","A+","64","439.85","12038","8418","-18.27","208.23","-94.78","12.45","77.73","92.00","94.00","-","Medical-Diversified     ",
