Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","LFIC","The Lakshmi Fin & Ind Corp","314.00","-16.50","-4.99","87","61","88","B+","84","99.15","18840","60001","-15.59","168.92","-96.59","37.28","60.12","95.00","92.00","-","Finance-Investment Mgmt ",
"2","TRENT","Trent","7489.90","136.60","1.86","87","99","92","A","4","261400.26","8516091","1137010","-5.67","278.06","-24.87","8.42","60.16","80.00","87.00","-","Retail-Department Stores",
"3","524506","Coral Laboratories","801.60","-42.15","-5.00","86","91","90","C","48","301.47","3534","4409","-19.76","221.98","18.83","-0.52","50.46","65.00","89.00","-","Medical-Diversified     ",
"4","ARIHANTACA","Arihant Academy","178.00","-12.00","-6.32","85","63","73","A","10","115.05","3714","20864","-11.00","80.95","-84.66","9.46","24.69","86.00","82.00","2022-12-29","Consumer Svcs-Education ",
"5","543619","Concord Control Systems","1875.00","22.15","1.20","85","99","94","A+","14","1108.38","21328","11375","-9.07","244.40","-12.09","14.16","82.48","90.00","96.00","2022-10-10","Elec-Misc Products      ",
"6","KAYNES","Kaynes Technology India","4899.80","-148.70","-2.95","84","99","85","B-","14","32315.95","2392332","488251","-15.67","133.94","-12.44","2.81","44.04","70.00","87.00","2022-11-22","Elec-Misc Products      ",
"7","RBMINFRA","Rbm Infracon","978.35","-51.45","-5.00","84","84","95","A","44","1040.41","54760","55972","-5.00","480.50","-10.31","36.35","69.93","96.00","94.00","2023-01-04","Oil&Gas-Field Services  ",
"8","BLUESTARCO","Blue Star","1922.00","-134.15","-6.52","83","93","86","A-","13","39607.21","927106","482365","-12.62","152.60","41.77","14.48","40.47","83.00","81.00","-","Bldg-A/C & Heating Prds ",
"9","DIXON","Dixon Technologies (India)","13490.00","-144.00","-1.06","83","95","87","B","30","81581.77","8474297","628191","-6.95","171.16","-59.57","6.65","54.76","68.00","84.00","2017-09-18","Hsehold-Appliances/Wares",
"10","ZOMATO","Zomato","265.00","-10.30","-3.74","83","76","88","A-","27","243210.34","17995398","67907164","-11.15","172.57","-24.35","5.23","41.77","77.00","80.00","2021-07-23","Retail-Internet         ",
"11","526731","Bright Brothers","280.90","-14.75","-4.99","83","53","90","A+","11","167.93","6774","24117","-15.76","121.05","-78.19","12.46","60.15","93.00","93.00","-","Chemicals-Plastics      ",
