Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","URBAN","Urban Enviro Waste Mgmt Ltd","508.10","0.00","0.00","88","99","74","A","25","220.01","8134","16008","-11.63","91.41","-82.51","12.11","29.50","86.00","85.00","2023-06-22","Pollution Control       ",
"2","DIXON","Dixon Technologies (India)","14800.00","80.05","0.54","88","98","91","B+","45","88079.76","9331385","630499","-7.32","182.36","-29.17","3.19","46.55","78.00","83.00","2017-09-18","Hsehold-Appliances/Wares",
"3","543787","Macfos","1026.55","-54.00","-5.00","88","99","92","B","29","1017.55","14964","14577","-5.40","180.66","-0.19","30.24","63.23","95.00","92.00","2023-03-01","Retail-Internet         ",
"4","524506","Coral Laboratories","866.05","20.75","2.45","86","90","90","D+","38","302.03","2018","2330","-13.31","145.09","-11.33","-3.77","36.92","64.00","86.00","-","Medical-Diversified     ",
"5","543619","Concord Control Systems","1725.00","63.65","3.83","86","99","92","B+","10","993.82","14330","8307","-16.35","208.80","-42.82","-6.12","46.45","67.00","91.00","2022-10-10","Elec-Misc Products      ",
"6","524818","Dynamic Industries","108.00","1.30","1.22","85","65","83","B","76","32.32","2561","23710","-13.04","N/A","-93.44","N/A","N/A","88.00","87.00","-","Chemicals-Specialty     ",
"7","543744","Rex Sealing And Packing Industries","248.45","-13.05","-4.99","85","63","93","B","144","58.05","636","2560","-10.24","209.10","17.19","19.62","76.45","93.00","93.00","2023-01-12","Machinery-Gen Industrial",
"8","ARIHANTACA","Arihant Academy","210.00","0.00","0.00","84","63","82","B+","9","127.16","1845","8784","-10.64","100.00","227.87","5.10","27.95","83.00","88.00","2022-12-29","Consumer Svcs-Education ",
"9","KAYNES","Kaynes Technology India","5540.00","102.10","1.88","84","98","88","A","10","34808.54","3099636","559501","-8.25","138.94","-28.75","1.13","39.40","78.00","87.00","2022-11-22","Elec-Misc Products      ",
"10","HIRECT","Hind Rectifiers","1112.40","-5.10","-0.46","84","74","88","B","10","1917.97","63246","56855","-13.04","118.24","-32.51","14.33","45.37","89.00","90.00","-","Elec-Misc Products      ",
"11","NETWEB","Netweb Technologies India Ltd","2670.00","-5.50","-0.21","84","99","90","B+","33","15080.99","503928","188737","-10.40","239.92","10.47","1.49","22.47","73.00","69.00","2023-07-27","Computer Sftwr-Database ",
"12","543578","Olatech Solutions","265.70","12.65","5.00","83","98","87","B+","84","109.55","5264","19813","-6.49","115.60","82.08","9.01","42.36","91.00","89.00","2022-08-29","Computer Sftwr-Enterprse",
"13","SHAILY","Shaily Engineering Plastics","1123.00","62.45","5.89","83","93","91","A","15","4864.53","197380","175761","-5.47","197.66","-34.32","6.34","51.95","82.00","84.00","-","Chemicals-Plastics      ",
"14","CARTRADE","Cartrade Tech","1184.00","2.35","0.20","82","67","81","A+","29","5589.32","509989","430734","-7.81","89.40","-52.27","17.63","40.00","92.00","87.00","2021-08-20","Retail-Internet         ",
"15","539854","Halder Venture","880.70","4.15","0.47","82","86","92","B+","96","277.08","1502","1705","-6.30","309.03","246.51","5.87","43.94","78.00","80.00","-","Food-Misc Preparation   ",
"16","PGEL","Pg Electroplast","628.80","-0.75","-0.12","82","98","95","B","15","16471.17","871769","1386401","-11.44","329.13","-49.19","1.94","72.29","84.00","94.00","-","Chemicals-Plastics      ",
"17","MCX","Multi Cmod.Ex.Of India","5968.70","19.55","0.33","81","68","86","A-","51","30339.47","3121672","523007","-13.12","118.30","-57.33","-1.62","34.57","77.00","86.00","-","Financial Svcs-Specialty",
"18","SHILPAMED","Shilpa Medicare Limited","871.55","46.70","5.66","81","76","88","B","38","8066.29","252799","290057","-9.17","163.40","209.06","-1.89","34.96","74.00","84.00","-","Medical-Diversified     ",
"19","WOCKPHARMA","Wockhardt","1165.00","-24.40","-2.05","81","36","95","A-","35","19324.42","469123","402681","-12.71","332.35","19.58","11.46","56.26","88.00","92.00","-","Medical-Generic Drugs   ",
"20","543620","Insolation Energy","4138.00","133.20","3.33","81","99","97","A+","71","8342.80","108221","26153","-12.88","572.91","-39.97","8.35","55.35","87.00","89.00","2022-10-10","Energy-Solar            ",
"21","LUPIN","Lupin (Nse)","2019.85","-19.15","-0.94","80","60","69","B","35","93018.16","2293893","1135675","-12.64","74.46","-41.55","-6.90","11.49","40.00","65.00","-","Medical-Generic Drugs   ",
"22","VHL","Vardhman Holdings","4993.10","203.05","4.24","80","51","81","C-","121","1528.98","33384","6686","-13.31","97.53","80.24","13.24","32.27","89.00","86.00","-","Finance-Consumer Loans  ",
"23","PKTEA","The Peria Krl.Tea","525.10","-13.80","-2.56","80","56","84","B","62","166.84","1961","3734","-11.93","103.47","-52.79","13.84","38.02","90.00","88.00","-","Food-Packaged           ",
