Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","524506","Coral Laboratories","909.65","-18.55","-2.00","87","90","91","A-","61","331.65","3984","4380","-8.94","254.27","-42.74","12.27","69.38","82.00","94.00","-","Medical-Diversified     ",
"2","543619","Concord Control Systems","1910.00","79.00","4.31","87","99","92","A+","14","1095.30","22318","11685","-7.37","240.33","-48.65","19.23","86.59","91.00","96.00","2022-10-10","Elec-Misc Products      ",
"3","ZOMATO","Zomato","284.00","-1.40","-0.49","85","75","89","A","15","252133.06","19139513","67392653","-4.78","189.75","-42.09","11.95","50.59","84.00","84.00","2021-07-23","Retail-Internet         ",
"4","TRENT","Trent","7840.00","225.10","2.96","85","99","92","A+","5","270699.80","7145588","911427","1.27","291.51","87.85","17.19","71.53","88.00","88.00","-","Retail-Department Stores",
"5","ARIHANTACA","Arihant Academy","187.00","4.60","2.52","84","62","67","A-","9","110.44","3964","21200","-6.50","73.71","-28.30","9.65","21.60","81.00","75.00","2022-12-29","Consumer Svcs-Education ",
"6","NETWEB","Netweb Technologies India Ltd","2550.00","-13.05","-0.51","84","99","85","A-","20","14447.14","416206","163218","-12.82","247.01","-47.54","2.18","31.24","42.00","68.00","2023-07-27","Computer Sftwr-Database ",
"7","SMSLIFE","Sms Lifesciences India","1479.80","-30.20","-2.00","84","73","94","A+","61","456.47","12655","8552","-15.42","219.88","-77.27","18.99","86.60","94.00","94.00","-","Medical-Diversified     ",
"8","544023","Kalyani Cast Tech","568.00","-25.40","-4.28","83","4","74","B+","57","128.53","13436","23655","-12.62","94.11","10.97","30.29","26.72","90.00","82.00","2023-11-17","Containers/Packaging    ",
"9","DIXON","Dixon Technologies (India)","14115.50","-56.40","-0.40","83","95","88","B+","27","84800.40","9203207","651993","-2.64","181.86","-43.31","13.58","65.69","79.00","86.00","2017-09-18","Hsehold-Appliances/Wares",
"10","526731","Bright Brothers","296.00","-9.15","-3.00","83","53","90","A+","6","173.32","6868","23202","-11.23","128.15","-71.08","23.94","69.32","95.00","94.00","-","Chemicals-Plastics      ",
"11","543172","Cospower Engineering","401.65","19.10","4.99","82","57","74","A+","107","57.38","964","2400","4.99","91.18","400.00","32.05","34.17","94.00","89.00","2020-03-30","Machinery-Gen Industrial",
"12","HIRECT","Hind Rectifiers","893.00","-11.75","-1.30","82","70","83","A-","14","1550.56","41169","46102","-11.81","171.70","-48.47","7.25","31.19","76.00","76.00","-","Elec-Misc Products      ",
"13","BLUESTARCO","Blue Star","2126.90","75.50","3.68","82","93","84","A","16","39515.71","926035","435392","3.25","152.01","311.11","17.57","43.38","84.00","79.00","-","Bldg-A/C & Heating Prds ",
"14","KAYNES","Kaynes Technology India","5478.50","-85.85","-1.54","82","99","88","B+","14","35617.96","2624919","479131","-5.71","163.37","-51.08","17.13","62.87","86.00","92.00","2022-11-22","Elec-Misc Products      ",
"15","543578","Olatech Solutions","245.00","-1.95","-0.79","82","98","91","B","146","106.91","6713","27398","-13.78","217.47","-15.60","25.64","52.28","92.00","89.00","2022-08-29","Computer Sftwr-Enterprse",
"16","RBMINFRA","Rbm Infracon","875.00","-34.25","-3.77","82","83","96","B+","42","918.62","45238","51700","-12.50","651.45","-32.30","29.11","54.39","92.00","91.00","2023-01-04","Oil&Gas-Field Services  ",
"17","522017","Fluidomat","641.40","-22.80","-3.43","81","97","65","C+","17","327.25","4787","7463","-15.16","117.70","-25.98","-1.83","6.31","36.00","44.00","-","Electronic-Parts        ",
"18","CARTRADE","Cartrade Tech","995.00","-17.40","-1.72","81","28","74","A","15","4788.65","426840","428985","-3.80","87.81","-14.20","12.74","27.71","76.00","75.00","2021-08-20","Retail-Internet         ",
"19","ROCKINGDCE","Rockingdeals Circular Economy Ltd","617.00","1.40","0.23","81","81","75","B","132","348.37","21336","34580","-10.25","140.47","-19.03","-1.71","17.52","35.00","62.00","2023-11-30","Transport-Air Freight   ",
"20","QUESS","Quess Corp","800.00","-14.85","-1.82","81","98","78","A","28","12110.79","574358","717948","-8.57","103.53","-61.87","9.52","35.32","79.00","77.00","-","Comml Svcs-Staffing     ",
"21","REMUS","Remus Pharmaceuticals Ltd","2674.00","40.05","1.52","81","4","81","B+","43","1551.92","24141","9028","-5.67","124.73","-65.66","12.35","39.89","82.00","84.00","2023-05-29","Medical-Whlsle Drg/Suppl",
"22","517449","Magna Elto.Castings","796.00","-14.00","-1.73","81","91","86","A+","116","342.79","7021","8820","-12.53","108.76","-91.32","18.76","57.66","93.00","91.00","-","Steel-Producers         ",
"23","SHILPAMED","Shilpa Medicare Limited","840.00","-3.90","-0.46","81","76","88","A","61","8252.58","348078","414378","-12.45","184.33","-54.42","13.12","59.84","81.00","87.00","-","Medical-Diversified     ",
"24","505299","KPT Industries","1149.05","-1.70","-0.15","81","93","88","A","41","391.25","7795","6784","-15.51","243.46","-72.48","6.92","48.13","82.00","84.00","-","Machinery-Tools & Rel   ",
"25","523676","Golkunda Dias.& Jewelr.","285.00","-0.65","-0.23","81","99","89","A+","122","198.93","3883","13626","-6.22","191.48","-71.97","26.75","55.11","92.00","90.00","-","Retail/Whlsle-Jewelry   ",
"26","STAR","Strides Pharma Science","1370.50","-28.00","-2.00","81","64","89","A+","68","12860.33","626934","457449","-4.23","199.46","-35.68","14.71","55.12","86.00","87.00","-","Medical-Generic Drugs   ",
"27","526703","Ecoplast","579.00","-0.70","-0.12","81","35","90","A+","6","173.91","1894","3271","-9.53","236.25","-87.53","2.92","43.99","83.00","86.00","-","Chemicals-Plastics      ",
"28","POWERINDIA","Hitachi Energy India","13500.00","153.30","1.15","81","86","90","A-","55","56565.98","612968","45405","-6.13","242.58","11.72","11.45","48.60","71.00","80.00","-","Electrical-Power/Equipmt",
"29","533018","Simplex Mills","6860.10","134.50","2.00","81","26","92","A+","87","20.18","158","23","2.00","N/A","-34.78","N/A","N/A","95.00","95.00","-","Apparel-Clothing Mfg    ",
"30","539854","Halder Venture","882.80","1.05","0.12","81","87","94","A","130","278.72","2735","3098","-2.75","311.46","-76.34","4.36","68.13","67.00","93.00","-","Food-Misc Preparation   ",
"31","543244","Shine Fashions (India)","317.00","-15.00","-4.52","81","98","95","A-","87","92.89","938","2960","-25.91","364.34","-66.22","2.53","120.95","80.00","87.00","2020-11-02","Apparel-Clothing Mfg    ",
"32","505827","Snl Bearings","468.00","9.95","2.17","80","81","62","C+","85","165.45","3005","6422","-9.02","62.72","-30.04","14.05","22.65","80.00","72.00","-","Metal Proc & Fabrication",
"33","NSIL","Nalwa Sons Investments","4900.00","-35.75","-0.72","80","61","73","B+","78","2535.00","64440","13151","-3.66","109.99","15.11","9.93","32.61","73.00","76.00","-","Finance-Investment Mgmt ",
"34","VOLTAS","Voltas (Nse)","1857.85","-53.00","-2.77","80","50","83","A","27","63227.16","3436562","1849752","-4.48","136.87","49.00","14.35","44.73","82.00","81.00","-","Hsehold-Appliances/Wares",
"35","VMART","V-Mart Retail","3974.80","37.50","0.95","80","39","83","A+","5","7790.74","122257","30758","-3.05","146.85","-72.38","10.08","53.71","79.00","89.00","-","Retail-Department Stores",
"36","543597","Virtuoso Optoelectronics","436.00","4.40","1.02","80","98","85","A+","27","1136.79","32443","74410","-4.74","137.14","-24.07","35.02","57.27","93.00","92.00","2022-09-15","Hsehold-Appliances/Wares",
"37","531169","Skp Securities","175.95","8.05","4.79","80","99","85","A+","88","114.32","1138","6466","3.44","187.99","-10.84","10.96","43.21","75.00","80.00","-","Finance-Invest Bnk/Bkrs ",
"38","NEWGEN","Newgen Software Techs","1334.80","30.55","2.34","80","94","86","A","50","18297.58","338439","253550","-1.27","201.89","1427.61","19.64","44.21","88.00","84.00","2018-01-29","Comp Sftwr-Spec Enterprs",
"39","VOLTAMP","Voltamp Transformers","13498.00","-286.55","-2.08","80","95","86","B-","55","13945.83","306796","22729","-8.80","227.26","-48.57","2.39","35.24","63.00","70.00","-","Electrical-Power/Equipmt",
"40","531889","Integrated Industries Ltd","418.25","-0.95","-0.23","80","76","87","A+","17","803.10","28608","68399","-4.51","179.61","-9.57","18.76","43.26","92.00","85.00","-","Electronic-Parts        ",
"41","543744","Rex Sealing And Packing Industries","221.85","0.00","0.00","80","62","87","C","107","49.25","541","2440","-19.85","N/A","22.95","N/A","N/A","76.00","92.00","2023-01-12","Machinery-Gen Industrial",
"42","MOTILALOFS","Motilal Oswal Finl.Svs.","754.00","-10.15","-1.33","80","98","91","A","88","45740.03","1070516","1419783","-9.03","257.27","-52.50","12.65","45.30","81.00","82.00","-","Finance-Invest Bnk/Bkrs ",
"43","505978","Triton Valves","5050.00","-122.30","-2.36","80","67","94","A","60","612.40","10878","2154","-9.41","256.71","-43.36","24.06","76.40","91.00","93.00","-","Auto/Truck-Original Eqp ",
"44","538920","Vintage Coffee And Beverages","127.40","5.05","4.13","80","61","95","A","5","1281.04","55931","439022","-0.78","374.22","89.59","32.20","85.59","95.00","94.00","-","Retail-Department Stores",
"45","543620","Insolation Energy","3594.00","-77.45","-2.11","80","99","98","A","93","7648.36","94321","26244","-9.01","911.84","-31.03","7.39","76.16","73.00","91.00","2022-10-10","Energy-Solar            ",
"46","GENUSPOWER","Genus Power Infr.","414.95","-11.45","-2.69","79","79","80","B+","55","12956.42","713000","1718280","-12.93","108.51","-71.62","6.43","38.48","73.00","80.00","-","Electrical-Power/Equipmt",
"47","SMARTLINK","Smartlink Holdings","321.90","-16.95","-5.00","79","66","81","A+","34","338.00","6510","20224","-7.05","114.46","885.28","22.25","47.80","85.00","86.00","-","Computer-Networking     ",
"48","MOTHERSON","Samvardhana Motherson International","213.00","7.52","3.66","79","86","81","A-","60","144581.79","4494213","21099592","1.14","136.73","144.55","6.56","41.00","64.00","80.00","-","Auto/Truck-Original Eqp ",
"49","STYRENIX","Styrenix Performance Materials","2439.00","-32.40","-1.31","79","55","81","B","6","4346.20","166450","68245","-15.31","139.20","-24.47","-4.30","30.91","42.00","75.00","-","Chemicals-Plastics      ",
"50","SYMPHONY","Symphony","1599.00","-16.40","-1.02","79","89","82","A","27","11139.31","586512","366799","-8.56","97.00","-71.10","10.58","47.47","84.00","86.00","-","Hsehold-Appliances/Wares",
"51","PITTIENG","Pitti Engineering","1282.00","-3.30","-0.26","79","95","82","A","55","4558.32","114842","89580","-11.40","119.99","-65.23","0.93","38.83","63.00","78.00","-","Electrical-Power/Equipmt",
"52","CDSL","Central Depository Services (India)","1466.50","-29.75","-1.99","79","97","84","A+","64","31271.63","5910240","4030167","-11.89","137.12","-37.96","10.92","39.40","83.00","81.00","2017-06-30","Financial Svcs-Specialty",
"53","NUVAMA","Nuvama Wealth Management Ltd","6825.00","74.30","1.10","79","62","85","A","78","24111.47","837120","122655","-3.87","221.46","-21.16","7.94","39.39","81.00","77.00","-","Finance-Investment Mgmt ",
"54","522195","Frontier Springs","2129.00","52.80","2.54","79","84","88","B","111","817.81","16280","7647","-11.72","245.46","18.52","11.18","45.64","79.00","85.00","-","Steel-Specialty Alloys  ",
"55","504080","Jsl Industries","2154.20","-38.20","-1.74","79","98","93","A","55","257.39","280","130","-16.86","N/A","-80.77","N/A","N/A","55.00","92.00","-","Electrical-Power/Equipmt",
"56","543931","Veefin Solutions Ltd","691.00","-16.75","-2.37","79","72","95","A+","13","1597.60","109890","159031","-8.34","280.61","-28.32","21.66","86.83","93.00","96.00","2023-07-05","Computer Sftwr-Financial",
"57","PGEL","Pg Electroplast","667.00","-7.75","-1.15","79","99","97","A+","6","17653.75","1062196","1592498","-3.89","359.94","-37.20","32.83","125.80","95.00","98.00","-","Chemicals-Plastics      ",
"58","517035","RIR Power Electronics","4414.00","-232.30","-5.00","79","96","98","A+","8","3418.28","73634","16682","-5.00","719.81","158.66","89.02","196.07","99.00","98.00","-","Elec-Semiconductor Mfg  ",
"59","504084","Kaycee Industries","4017.60","78.75","2.00","79","96","99","A+","55","1250.19","20932","5210","2.00","1793.68","-2.15","54.14","255.75","98.00","99.00","-","Electrical-Power/Equipmt",
"60","LFIC","The Lak.Fin.& Indl.","240.00","-3.01","-1.24","78","61","62","B-","78","72.90","5633","23472","-9.43","97.73","-70.88","6.13","20.31","65.00","65.00","-","Finance-Investment Mgmt ",
"61","AMBER","Amber Enterprises India","4693.05","-113.45","-2.36","78","57","65","A-","27","16228.19","1264693","269482","-12.46","76.64","30.19","9.59","22.43","72.00","68.00","2018-01-30","Hsehold-Appliances/Wares",
"62","ALKEM","Alkem Laboratories","6161.50","-65.15","-1.05","78","90","66","A","61","74448.94","1555163","252400","-4.32","80.64","-4.03","7.78","19.08","72.00","67.00","-","Medical-Diversified     ",
