Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","ARIHANTACA","Arihant Academy","192.00","-6.50","-3.27","85","63","79","A","10","120.19","2925","15232","-4.00","89.05","-94.75","12.70","29.25","88.00","84.00","2022-12-29","Consumer Svcs-Education ",
"2","505299","KPT Industries","1331.00","59.10","4.65","85","93","92","B+","74","432.45","9060","6807","-2.13","279.61","122.20","12.32","58.00","90.00","90.00","-","Machinery-Tools & Rel   ",
"3","RBMINFRA","Rbm Infracon","887.85","0.00","0.00","85","84","93","B-","49","897.00","53015","59712","-15.36","372.26","58.09","13.39","44.57","91.00","91.00","2023-01-04","Oil&Gas-Field Services  ",
"4","TRENT","Trent","8035.00","-185.85","-2.26","85","99","94","A+","4","292240.53","9653410","1201420","-3.45","322.67","-49.54","18.59","76.02","92.00","92.00","-","Retail-Department Stores",
"5","KAYNES","Kaynes Technology India","5550.00","158.40","2.94","84","99","88","B+","13","34512.17","2717136","489574","-4.48","149.84","56.53","8.69","52.18","80.00","90.00","2022-11-22","Elec-Misc Products      ",
"6","TAINWALCHM","Tainwala Chpt.India","265.00","-16.87","-5.99","84","67","89","A","12","263.94","4932","18613","-10.47","141.02","104.47","28.95","65.30","93.00","93.00","-","Chemicals-Plastics      ",
"7","DIXON","Dixon Technologies (India)","14915.00","109.80","0.74","84","95","90","A-","34","88589.88","9726922","652157","-0.13","191.67","-27.54","14.20","65.56","84.00","88.00","2017-09-18","Hsehold-Appliances/Wares",
"8","STAR","Strides Pharma Science","1512.50","7.25","0.48","84","64","92","A+","33","13841.98","643333","425344","-1.21","222.32","-37.04","15.85","60.05","91.00","91.00","-","Medical-Generic Drugs   ",
"9","SMSPHARMA","Sms Pharmaceuticals","346.00","2.85","0.83","84","66","92","B+","33","2904.83","190464","550475","-13.07","206.79","-79.28","2.98","54.78","75.00","87.00","-","Medical-Generic Drugs   ",
"10","GET&D","Ge T&D India","1756.50","7.85","0.45","84","76","94","B+","39","44773.66","644312","366816","-7.06","401.05","83.77","4.22","45.08","69.00","82.00","-","Electrical-Power/Equipmt",
"11","ZOMATO","Zomato","275.30","-4.65","-1.66","83","76","87","A-","22","247318.33","19139977","69524073","-7.69","176.49","-44.09","5.76","42.55","78.00","82.00","2021-07-23","Retail-Internet         ",
"12","524506","Coral Laboratories","859.10","40.90","5.00","83","91","89","C-","44","292.34","3826","4454","-14.00","212.23","-56.47","-4.11","44.51","54.00","88.00","-","Medical-Diversified     ",
"13","539854","Halder Venture","798.50","-0.45","-0.06","82","87","91","A","115","252.55","2047","2564","-12.04","272.82","-99.57","-6.77","45.77","32.00","84.00","-","Food-Misc Preparation   ",
"14","POWERINDIA","Hitachi Energy India","15637.35","1156.55","7.99","82","86","92","A+","39","61372.53","669138","42791","3.09","259.77","529.06","16.77","54.24","83.00","85.00","-","Electrical-Power/Equipmt",
