Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","TAINWALCHM","Tainwala Chpt.India","246.00","-15.82","-6.04","85","68","87","B","15","245.17","10155","41282","-25.74","123.87","-30.71","15.59","48.59","88.00","89.00","-","Chemicals-Plastics      ",
"2","STAR","Strides Pharma Science","1535.20","-25.05","-1.61","85","64","93","A+","31","14347.75","594968","387551","-8.35","234.10","82.51","11.61","57.97","91.00","91.00","-","Medical-Generic Drugs   ",
"3","TRENT","Trent","7518.00","6.70","0.09","85","99","93","A-","5","267016.95","7582437","1008571","-9.91","286.19","-55.51","2.06","52.56","83.00","87.00","-","Retail-Department Stores",
"4","IFBIND","Ifb Industries","2182.00","-91.20","-4.01","84","65","88","A","30","9210.78","184067","84357","-7.54","167.44","-49.41","16.42","44.26","90.00","88.00","-","Hsehold-Appliances/Wares",
"5","KAYNES","Kaynes Technology India","5529.00","59.65","1.09","84","99","88","B+","12","35009.86","2929917","529918","-6.45","153.45","-53.45","4.90","48.22","82.00","90.00","2022-11-22","Elec-Misc Products      ",
"6","NETWEB","Netweb Technologies India Ltd","2591.50","-36.50","-1.39","84","99","89","B+","14","14813.25","495013","191014","-12.15","255.81","0.32","1.46","26.10","72.00","73.00","2023-07-27","Computer Sftwr-Database ",
"7","DIXON","Dixon Technologies (India)","15044.95","-239.50","-1.57","84","95","92","A-","30","91457.56","8735549","580630","-3.56","201.11","-41.46","11.69","62.31","88.00","89.00","2017-09-18","Hsehold-Appliances/Wares",
"8","522195","Frontier Springs","2145.05","-43.75","-2.00","84","85","92","B+","124","862.17","17229","8032","-11.05","264.19","-95.37","4.07","42.86","87.00","88.00","-","Steel-Specialty Alloys  ",
"9","GET&D","Ge T&D India","1685.85","-63.65","-3.64","84","76","95","B-","43","44795.42","707843","419873","-14.38","401.29","242.24","2.83","37.63","69.00","80.00","-","Electrical-Power/Equipmt",
"10","524506","Coral Laboratories","810.00","9.15","1.14","83","90","85","C+","45","286.14","3734","4610","-18.92","205.61","-82.26","-9.25","36.21","52.00","86.00","-","Medical-Diversified     ",
"11","543619","Concord Control Systems","1650.00","29.30","1.81","83","99","91","B+","12","969.50","18488","11205","-19.98","201.25","-37.53","-6.46","50.66","74.00","92.00","2022-10-10","Elec-Misc Products      ",
"12","TARIL","Transformers And Rtf. (India)","834.00","-29.00","-3.36","83","98","95","A","43","12952.16","203704","244249","-7.21","507.75","-46.13","21.48","61.46","91.00","82.00","-","Electrical-Power/Equipmt",
"13","543620","Insolation Energy","3502.00","33.30","0.96","83","99","96","A","74","7226.00","91003","25986","-12.01","567.06","-36.89","-2.42","47.43","66.00","84.00","2022-10-10","Energy-Solar            ",
"14","ARIHANTACA","Arihant Academy","220.00","0.00","0.00","82","63","84","A","11","133.21","2841","12912","-6.38","109.52","-81.41","16.16","38.59","91.00","91.00","2022-12-29","Consumer Svcs-Education ",
"15","531201","Shilchar Technologies","6925.00","-185.00","-2.60","82","96","87","B+","43","5422.80","78488","11334","-10.72","221.56","67.85","16.31","38.40","87.00","80.00","-","Electrical-Power/Equipmt",
"16","WOMANCART","Womancart Ltd","288.70","0.00","0.00","82","83","87","B-","65","142.91","785","2720","-12.49","191.62","76.47","-2.51","53.22","60.00","91.00","2023-10-27","Cosmetics/Personal Care ",
"17","543244","Shine Fashions (India)","355.35","-7.25","-2.00","82","98","93","B+","92","101.45","665","1870","-16.95","321.63","-73.26","4.73","111.44","81.00","92.00","2020-11-02","Apparel-Clothing Mfg    ",
"18","505978","Triton Valves","4990.00","23.80","0.48","82","67","94","A-","46","588.00","7240","1451","-10.49","242.50","-61.68","3.82","52.18","86.00","91.00","-","Auto/Truck-Original Eqp ",
"19","539495","Rajkot Investment Trust","67.54","-3.55","-4.99","81","63","88","A+","73","7.11","420","6221","-4.99","N/A","-12.70","N/A","N/A","97.00","95.00","-","Finance-Investment Mgmt ",
"20","526731","Bright Brothers","270.35","-14.05","-4.94","81","53","89","A+","15","161.54","4672","17283","-18.92","112.64","-91.08","-2.56","47.01","89.00","91.00","-","Chemicals-Plastics      ",
"21","517370","Incap","105.00","-2.35","-2.19","81","87","90","A","21","55.10","738","7028","-14.49","178.83","-71.10","32.18","56.11","95.00","92.00","-","Electronic-Parts        ",
"22","JUBLPHARMA","Jubilant Pharmova","1108.70","-29.55","-2.60","81","59","92","B+","45","18130.16","787109","709939","-11.10","257.10","-87.68","6.79","49.37","87.00","89.00","-","Medical-Diversified     ",
"23","LUPIN","Lupin (Nse)","2130.00","55.45","2.67","80","57","75","B","31","94629.15","2425523","1138743","-7.87","84.73","-38.19","-5.22","16.98","54.00","70.00","-","Medical-Generic Drugs   ",
"24","MOTHERSON","Samvardhana Motherson International","192.75","-4.88","-2.47","80","86","82","A","46","139058.30","3743475","19421399","-11.17","127.68","-39.61","-0.53","26.65","65.00","75.00","-","Auto/Truck-Original Eqp ",
"25","AJMERA","Ajmera Real.& Infra Ida. (Nse)","900.00","-4.05","-0.45","80","87","86","A-","86","3272.21","142347","158163","-4.61","176.03","-12.35","28.11","36.08","93.00","86.00","-","Bldg-Resident/Comml     ",
"26","BFINVEST","Bf Investment","692.90","-27.75","-3.85","79","97","70","B+","73","2714.54","103204","148945","-14.75","61.22","15.86","16.39","22.44","88.00","78.00","-","Finance-Investment Mgmt ",
"27","ABB","ABB India","7658.95","-44.85","-0.58","79","93","75","C","43","163249.68","2188009","285680","-16.30","100.10","68.93","-3.39","9.84","47.00","40.00","-","Electrical-Power/Equipmt",
"28","NAUKRI","Info Edge (India) (Nse)","7729.90","-100.80","-1.29","79","57","77","A","25","101473.34","1700972","220051","-8.76","97.15","-44.65","0.36","22.78","69.00","73.00","-","Internet-Content        ",
"29","REMUS","Remus Pharmaceuticals Ltd","2447.00","-34.80","-1.40","79","5","78","B+","39","1462.28","17202","7030","-13.68","106.82","-71.55","-3.42","25.59","70.00","77.00","2023-05-29","Medical-Whlsle Drg/Suppl",
"30","BLUESTARCO","Blue Star","1888.00","-12.15","-0.64","79","93","81","B","18","36602.21","954977","505814","-14.16","133.43","-35.64","1.14","24.08","73.00","72.00","-","Bldg-A/C & Heating Prds ",
"31","544143","Royal Sense Ltd","205.00","-5.00","-2.38","79","69","83","A-","9","102.90","1968","9600","-12.05","102.84","-79.17","27.19","43.71","93.00","91.00","2024-03-19","Medical-Systems/Equip   ",
"32","543744","Rex Sealing And Packing Industries","213.40","19.40","10.00","79","63","83","D+","118","43.07","640","3000","-22.90","N/A","333.33","N/A","N/A","43.00","84.00","2023-01-12","Machinery-Gen Industrial",
"33","HIRECT","Hind Rectifiers","1046.20","49.80","5.00","79","70","85","B","12","1707.63","54793","52373","-13.36","145.90","-23.59","9.91","37.36","87.00","85.00","-","Elec-Misc Products      ",
"34","509597","Hardcastle & Waud","1058.00","48.00","4.75","79","97","85","B-","79","68.58","248","234","-21.90","N/A","-14.53","N/A","N/A","67.00","75.00","-","Chemicals-Specialty     ",
"35","ZOMATO","Zomato","254.80","-9.25","-3.50","79","76","86","B+","22","233323.61","15100076","59262465","-14.57","160.79","1.82","-1.59","29.69","67.00","77.00","2021-07-23","Retail-Internet         ",
"36","543172","Cospower Engineering","513.00","22.50","4.59","79","57","87","A","118","73.58","1216","2370","-4.47","145.13","-57.81","37.31","62.09","97.00","95.00","2020-03-30","Machinery-Gen Industrial",
"37","VMART","V-Mart Retail","4292.00","-46.05","-1.06","79","40","90","B","5","8583.70","144919","33765","-4.62","171.98","-36.99","10.82","55.58","86.00","91.00","-","Retail-Department Stores",
"38","RSSOFTWARE","Rs Software (India)","262.00","-4.30","-1.61","79","78","95","B-","29","684.60","19858","75795","-28.64","397.29","-81.10","-7.17","21.55","43.00","59.00","-","Computer Sftwr-Desktop  ",
"39","WEL","Wonder Electricals","1462.00","-52.55","-3.47","79","83","96","A-","30","2029.65","98302","67238","-9.75","477.96","-92.77","5.09","56.76","80.00","85.00","2019-08-06","Hsehold-Appliances/Wares",
"40","513472","Simplex Castings","332.65","-4.35","-1.29","79","70","97","A-","128","242.57","2637","7927","-6.27","624.73","-70.30","13.08","75.81","91.00","92.00","-","Steel-Producers         ",
