Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","524506","Coral Laboratories","914.00","-8.85","-0.96","88","91","92","B-","46","329.73","4200","4595","-8.51","252.17","-78.39","6.50","60.34","79.00","93.00","-","Medical-Diversified     ",
"2","MOTILALOFS","Motilal Oswal Finl.Svs.","964.00","39.55","4.28","87","98","94","A","93","55335.17","1665840","1728050","2.34","309.93","595.40","27.36","66.27","93.00","90.00","-","Finance-Invest Bnk/Bkrs ",
"3","SMSLIFE","Sms Lifesciences India","1591.00","-39.55","-2.43","87","73","95","A+","46","492.91","12287","7723","-9.07","245.42","-68.54","14.79","87.14","92.00","95.00","-","Medical-Diversified     ",
"4","NSIL","Nalwa Sons Investments","5835.00","373.30","6.83","86","61","82","A-","75","2805.13","99948","17129","6.27","132.36","507.08","18.15","42.44","86.00","85.00","-","Finance-Investment Mgmt ",
"5","KAYNES","Kaynes Technology India","5717.00","2.75","0.05","86","99","90","B+","10","36577.49","2951327","516237","-3.26","164.79","-57.69","13.00","58.67","86.00","91.00","2022-11-22","Elec-Misc Products      ",
"6","GET&D","Ge T&D India","1955.00","90.60","4.86","86","76","94","A-","33","47737.40","760888","389201","3.44","434.21","18.98","10.34","51.31","79.00","82.00","-","Electrical-Power/Equipmt",
"7","EIMCOELECO","Eimco Elecon India","3215.00","25.15","0.79","85","93","83","A","118","1839.90","20184","6278","-8.12","151.47","-9.38","9.70","46.51","76.00","83.00","-","Machinery-Constr/Mining ",
"8","NETWEB","Netweb Technologies India Ltd","2600.00","-74.30","-2.78","85","99","87","B+","16","15074.23","458986","176533","-11.11","262.08","-33.44","5.05","31.05","68.00","71.00","2023-07-27","Computer Sftwr-Database ",
"9","505299","KPT Industries","1245.00","8.00","0.65","85","93","91","A-","78","420.58","8722","7006","-8.46","269.20","-66.81","6.06","50.93","81.00","85.00","-","Machinery-Tools & Rel   ",
"10","531169","Skp Securities","233.55","33.80","16.92","85","99","92","A+","93","136.01","1524","6524","12.85","227.19","1681.19","23.50","60.82","91.00","89.00","-","Finance-Invest Bnk/Bkrs ",
"11","TRENT","Trent","7830.90","-293.35","-3.61","85","99","94","A+","5","288806.53","9172490","1171320","-6.16","317.70","-23.14","13.97","69.99","87.00","89.00","-","Retail-Department Stores",
"12","504080","Jsl Industries","2611.00","124.30","5.00","85","98","95","A","33","291.94","386","148","0.77","N/A","288.51","N/A","N/A","84.00","93.00","-","Electrical-Power/Equipmt",
"13","BLUESTARCO","Blue Star","2007.00","-41.70","-2.04","84","93","83","B+","14","39463.70","1041741","519054","-8.75","151.68","-4.04","11.67","36.54","80.00","77.00","-","Bldg-A/C & Heating Prds ",
"14","531201","Shilchar Technologies","7387.35","351.75","5.00","84","96","88","A-","33","5366.05","71975","9743","4.76","280.30","-40.56","17.22","40.84","85.00","76.00","-","Electrical-Power/Equipmt",
"15","VOLTAMP","Voltamp Transformers","14068.85","-36.10","-0.26","84","95","88","B","33","14269.98","278760","19814","-4.94","230.66","-35.73","3.74","32.55","70.00","70.00","-","Electrical-Power/Equipmt",
"16","522195","Frontier Springs","2285.70","108.80","5.00","84","85","90","B","129","857.48","18738","8198","-5.22","262.21","-40.77","8.39","45.54","86.00","86.00","-","Steel-Specialty Alloys  ",
"17","DIXON","Dixon Technologies (India)","15309.00","-95.45","-0.62","84","95","91","A-","34","92175.61","9176123","599394","-0.75","203.48","-67.79","16.42","68.56","86.00","88.00","2017-09-18","Hsehold-Appliances/Wares",
"18","543410","Dmr Hydroengineering & Infrastructures","152.55","-8.40","-5.22","83","95","61","C","124","61.03","1002","6570","-27.80","131.58","744.75","-6.22","6.73","33.00","36.00","2021-12-07","Bldg-Heavy Construction ",
"19","ARIHANTACA","Arihant Academy","221.00","0.00","0.00","83","63","83","A+","9","133.82","2960","13392","-1.76","110.48","-46.24","22.12","42.04","92.00","89.00","2022-12-29","Consumer Svcs-Education ",
"20","NEWGEN","Newgen Software Techs","1266.95","-29.05","-2.24","83","94","83","B-","25","18181.84","504525","398220","-18.16","179.91","182.50","11.64","37.33","82.00","82.00","2018-01-29","Comp Sftwr-Spec Enterprs",
"21","TAINWALCHM","Tainwala Chpt.India","252.15","-5.03","-1.96","83","67","84","B+","11","240.82","4770","18917","-14.81","119.91","-77.51","16.33","48.81","86.00","87.00","-","Chemicals-Plastics      ",
"22","543744","Rex Sealing And Packing Industries","211.00","1.00","0.48","83","63","84","D-","105","46.62","616","2920","-23.77","N/A","-65.75","N/A","N/A","68.00","86.00","2023-01-12","Machinery-Gen Industrial",
