Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","LFIC","The Lakshmi Fin & Ind Corp","330.50","3.15","0.96","87","61","88","B+","83","99.15","19830","60001","-11.16","168.92","-30.47","37.28","60.12","95.00","92.00","-","Finance-Investment Mgmt ",
"2","TRENT","Trent","7353.30","-134.60","-1.80","87","99","92","A","4","261400.26","8360776","1137010","-7.39","278.06","-17.42","8.42","60.16","80.00","87.00","-","Retail-Department Stores",
"3","524506","Coral Laboratories","843.75","1.75","0.21","86","91","90","C","47","301.47","3720","4409","-15.54","221.98","-62.35","-0.52","50.46","65.00","89.00","-","Medical-Diversified     ",
"4","ARIHANTACA","Arihant Academy","190.00","-7.55","-3.82","85","63","73","A","7","115.05","3964","20864","-5.00","80.95","-92.33","9.46","24.69","86.00","82.00","2022-12-29","Consumer Svcs-Education ",
"5","543619","Concord Control Systems","1852.85","-31.55","-1.67","85","99","94","A+","14","1108.38","21076","11375","-10.15","244.40","-58.24","14.16","82.48","90.00","96.00","2022-10-10","Elec-Misc Products      ",
"6","KAYNES","Kaynes Technology India","5048.50","-176.70","-3.38","84","99","85","B-","14","32315.95","2464935","488251","-13.11","133.94","-10.97","2.81","44.04","70.00","87.00","2022-11-22","Elec-Misc Products      ",
"7","RBMINFRA","Rbm Infracon","1029.80","49.00","5.00","84","84","95","A","42","1040.41","57640","55972","0.00","480.50","56.15","36.35","69.93","96.00","94.00","2023-01-04","Oil&Gas-Field Services  ",
"8","BLUESTARCO","Blue Star","2056.15","-91.00","-4.24","83","93","86","A-","13","39607.21","991815","482365","-6.52","152.60","-22.35","14.48","40.47","83.00","81.00","-","Bldg-A/C & Heating Prds ",
"9","DIXON","Dixon Technologies (India)","13634.00","14.05","0.10","83","95","87","B","30","81581.77","8564756","628191","-5.96","171.16","-23.83","6.65","54.76","68.00","84.00","2017-09-18","Hsehold-Appliances/Wares",
"10","ZOMATO","Zomato","275.30","6.30","2.34","83","76","88","A-","25","243210.34","18694842","67907163","-7.69","172.57","-12.97","5.23","41.77","77.00","80.00","2021-07-23","Retail-Internet         ",
"11","526731","Bright Brothers","295.65","-14.25","-4.60","83","53","90","A+","11","167.93","7130","24117","-11.34","121.05","-61.01","12.46","60.15","93.00","93.00","-","Chemicals-Plastics      ",
"12","543620","Insolation Energy","3423.25","-13.85","-0.40","83","99","97","B+","66","7131.31","91394","26698","-13.34","753.47","-38.95","-1.02","57.95","48.00","87.00","2022-10-10","Energy-Solar            ",
"13","HIRECT","Hind Rectifiers","876.90","-21.05","-2.34","82","71","83","A-","14","1502.83","41696","47549","-13.40","156.40","-64.69","1.42","25.51","76.00","71.00","-","Elec-Misc Products      ",
"14","543578","Olatech Solutions","246.90","-2.90","-1.16","82","98","83","B","136","106.88","6989","28305","-13.11","200.80","-28.10","20.50","49.43","89.00","90.00","2022-08-29","Computer Sftwr-Enterprse",
"15","STAR","Strides Pharma Science","1457.90","33.05","2.32","82","64","91","A+","38","13406.56","651291","446732","-1.03","212.18","-7.91","14.53","57.17","89.00","89.00","-","Medical-Generic Drugs   ",
"16","539854","Halder Venture","815.00","-6.75","-0.82","82","87","92","A","106","257.62","2298","2820","-10.22","280.31","-98.44","-4.86","50.71","44.00","87.00","-","Food-Misc Preparation   ",
"17","505978","Triton Valves","4900.00","17.65","0.36","82","67","93","A-","49","580.16","10706","2185","-12.10","237.93","-70.85","11.31","61.35","89.00","90.00","-","Auto/Truck-Original Eqp ",
"18","NSIL","Nalwa Sons Investments","4854.65","-155.80","-3.11","81","61","73","B+","83","2493.35","72412","14916","-5.28","106.54","35.72","6.38","28.61","70.00","75.00","-","Finance-Investment Mgmt ",
"19","544143","Royal Sense Ltd","205.50","7.60","3.84","81","69","79","A","15","100.70","1743","8480","-1.08","98.49","277.36","34.57","46.28","93.00","90.00","2024-03-19","Medical-Systems/Equip   ",
"20","PKTEA","The Peria Krl.Tea","553.60","-14.15","-2.49","81","64","82","B+","50","171.40","1272","2297","-6.94","111.22","158.99","28.51","51.99","91.00","89.00","-","Food-Packaged           ",
"21","523676","Golkunda Dias.& Jewelr.","266.50","-3.20","-1.19","81","99","88","A+","99","185.59","2936","11017","-12.31","171.94","-27.12","14.08","40.91","88.00","84.00","-","Retail/Whlsle-Jewelry   ",
"22","DPABHUSHAN","D P Abhushan","1617.35","-9.15","-0.56","81","96","88","B","99","3656.99","131080","81046","-8.85","213.71","-31.67","12.17","47.69","80.00","83.00","2017-10-23","Retail/Whlsle-Jewelry   ",
"23","JUBLPHARMA","Jubilant Pharmova","1111.95","-6.55","-0.59","81","59","89","A-","47","17711.25","1131885","1017928","-10.84","248.85","-73.68","14.18","54.13","89.00","89.00","-","Medical-Diversified     ",
"24","531169","Skp Securities","175.30","-2.15","-1.21","81","99","89","A-","100","119.36","1299","7408","-12.35","200.69","72.19","12.35","45.63","82.00","83.00","-","Finance-Invest Bnk/Bkrs ",
"25","505299","KPT Industries","1204.65","24.05","2.04","81","93","91","A","74","409.58","8165","6778","-11.42","259.54","-22.56","8.46","51.53","87.00","87.00","-","Machinery-Tools & Rel   ",
"26","POWERINDIA","Hitachi Energy India","14015.50","-40.95","-0.29","81","86","91","A","44","59400.49","612898","43730","-5.62","259.75","1.84","14.31","51.45","82.00","84.00","-","Electrical-Power/Equipmt",
"27","526479","Sky Industries","177.40","-1.50","-0.84","81","93","93","A","88","139.99","5095","28721","-5.54","205.86","251.47","35.57","82.07","96.00","94.00","-","Apparel-Clothing Mfg    ",
"28","SMSLIFE","Sms Lifesciences India","1458.60","28.60","2.00","81","73","93","A+","47","440.94","11928","8178","-16.63","208.99","-93.81","8.77","74.21","89.00","94.00","-","Medical-Diversified     ",
"29","543244","Shine Fashions (India)","366.90","17.45","4.99","81","98","96","A-","88","102.66","807","2200","-14.25","413.15","-54.55","7.73","133.33","88.00","92.00","2020-11-02","Apparel-Clothing Mfg    ",
"30","ALPHAGEO","Alphageo (India)","443.25","-14.55","-3.18","80","65","66","B","42","282.13","4996","11272","-15.05","65.58","24.92","0.46","16.45","56.00","58.00","-","Oil&Gas-Field Services  ",
"31","NAUKRI","Info Edge (India) (Nse)","8198.65","75.65","0.93","80","57","78","A+","21","106241.39","2155458","262904","-1.33","106.41","62.90","8.98","32.61","78.00","77.00","-","Internet-Content        ",
"32","STYRENIX","Styrenix Performance Materials","2462.30","-99.30","-3.88","80","56","80","B-","11","4330.20","124051","50380","-14.50","138.32","5.41","-4.36","28.46","45.00","74.00","-","Chemicals-Plastics      ",
"33","MOTHERSON","Samvardhana Motherson International","200.92","-3.00","-1.47","80","87","82","A","49","141373.24","4288892","21346268","-7.41","131.47","-46.70","3.29","34.73","54.00","78.00","-","Auto/Truck-Original Eqp ",
"34","JINDALSAW","Jindal Saw (Nse)","726.15","18.65","2.64","80","88","82","B","93","23218.94","1073530","1478386","-4.44","121.02","-38.15","7.15","31.99","80.00","79.00","-","Steel-Producers         ",
"35","PITTIENG","Pitti Engineering","1327.70","-39.15","-2.86","80","95","83","A-","44","4708.69","116969","88099","-8.24","127.25","-28.26","2.58","40.61","72.00","81.00","-","Electrical-Power/Equipmt",
"36","TIPSMUSIC","Tips Music Ltd","718.70","-12.10","-1.66","80","97","88","A+","39","9187.29","330540","459914","-8.44","139.45","-7.51","3.10","44.47","81.00","85.00","-","Leisure-Movies & Related",
"37","543744","Rex Sealing And Packing Industries","221.85","0.00","0.00","80","63","88","C","102","49.25","515","2320","-19.85","N/A","0.00","N/A","N/A","76.00","92.00","2023-01-12","Machinery-Gen Industrial",
"38","EMKAY","Emkay Global Finl.Svs.","251.57","11.95","4.99","80","94","90","A+","100","624.85","7227","28727","-0.01","203.10","632.68","31.50","58.57","94.00","91.00","-","Finance-Invest Bnk/Bkrs ",
"39","WOMANCART","Womancart Ltd","308.15","-2.90","-0.93","80","84","90","B","55","152.53","1193","3872","-6.59","211.26","65.29","7.51","71.05","80.00","94.00","2023-10-27","Cosmetics/Personal Care ",
