Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","NETWEB","Netweb Technologies India Ltd","2660.00","-85.70","-3.12","87","99","89","A-","11","15476.69","493704","185603","-9.82","271.74","30.61","6.49","32.66","78.00","76.00","2023-07-27","Computer Sftwr-Database ",
"2","TRENT","Trent","7517.50","-89.05","-1.17","87","99","93","A-","5","270402.96","8732230","1161587","-9.92","291.08","-47.44","4.02","55.97","81.00","87.00","-","Retail-Department Stores",
"3","IFBIND","Ifb Industries","2232.00","-97.80","-4.20","86","65","89","A","29","9440.12","186066","83363","-5.42","174.09","7.60","19.70","49.06","90.00","87.00","-","Hsehold-Appliances/Wares",
"4","KAYNES","Kaynes Technology India","5398.00","-254.10","-4.50","86","99","90","B+","10","36179.66","2818112","522066","-8.66","161.91","-54.43","9.36","54.35","84.00","91.00","2022-11-22","Elec-Misc Products      ",
"5","524506","Coral Laboratories","802.15","-43.60","-5.16","86","90","91","C+","46","302.19","3670","4575","-19.70","222.74","-65.97","-3.81","44.78","60.00","87.00","-","Medical-Diversified     ",
"6","TARIL","Transformers And Rtf. (India)","850.00","40.45","5.00","86","98","95","A-","41","12149.97","196530","231212","-5.43","470.11","167.80","15.03","53.35","84.00","74.00","-","Electrical-Power/Equipmt",
"7","526731","Bright Brothers","282.95","-14.65","-4.92","85","53","89","A+","14","169.04","5594","19772","-15.14","122.50","-85.70","3.08","54.90","90.00","92.00","-","Chemicals-Plastics      ",
"8","NSIL","Nalwa Sons Investments","7342.00","-411.00","-5.30","85","61","94","A+","72","3981.94","199137","27123","-5.30","229.84","471.00","60.76","98.61","97.00","96.00","-","Finance-Investment Mgmt ",
"9","AJMERA","Ajmera Real.& Infra Ida. (Nse)","843.00","-52.20","-5.83","84","87","85","A","82","3240.18","125723","149138","-10.65","173.32","66.29","28.13","35.69","93.00","83.00","-","Bldg-Resident/Comml     ",
"10","HIRECT","Hind Rectifiers","1048.50","-55.15","-5.00","84","70","88","A-","10","1891.43","55260","52704","-13.17","220.78","-46.77","22.64","53.18","93.00","89.00","-","Elec-Misc Products      ",
"11","531201","Shilchar Technologies","7148.10","-376.20","-5.00","84","96","90","A-","41","5738.78","78822","11027","-7.85","240.30","57.11","23.76","47.76","89.00","84.00","-","Electrical-Power/Equipmt",
"12","530129","Nile","2379.65","-125.20","-5.00","84","85","92","A+","139","751.96","18280","7682","-14.95","279.55","-34.46","8.37","54.12","84.00","89.00","-","Mining-Metal Ores       ",
"13","DIXON","Dixon Technologies (India)","14900.00","-490.55","-3.19","84","95","92","A-","29","92092.43","8686938","583016","-4.49","203.20","-44.98","13.59","65.04","86.00","88.00","2017-09-18","Hsehold-Appliances/Wares",
"14","522195","Frontier Springs","2233.45","-45.55","-2.00","84","85","92","B+","123","897.70","18296","8192","-7.39","279.20","-90.28","9.65","49.84","89.00","90.00","-","Steel-Specialty Alloys  ",
