Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","DIXON","Dixon Technologies (India)","15578.00","-120.50","-0.77","86","95","92","B+","36","93935.11","11055800","709706","-2.03","201.51","-9.20","11.41","59.05","84.00","86.00","2017-09-18","Hsehold-Appliances/Wares",
"2","KAYNES","Kaynes Technology India","5544.45","-237.15","-4.10","85","98","90","A-","7","37008.60","3081883","555850","-8.17","154.04","-35.50","8.88","50.40","80.00","89.00","2022-11-22","Elec-Misc Products      ",
"3","NETWEB","Netweb Technologies India Ltd","2846.00","11.60","0.41","85","99","91","A-","20","15976.66","532415","187075","-3.52","270.15","110.77","7.78","31.41","78.00","73.00","2023-07-27","Computer Sftwr-Database ",
"4","SHAILY","Shaily Engineering Plastics","1135.00","-18.40","-1.60","85","93","93","A+","9","5290.41","218457","192473","-4.46","232.90","-21.47","16.35","68.90","88.00","89.00","-","Chemicals-Plastics      ",
"5","TARIL","Transformers And Rtf. (India)","1023.00","19.25","1.92","85","98","96","A+","79","15064.58","278534","272272","0.29","480.03","-26.04","32.82","74.93","94.00","88.00","-","Electrical-Power/Equipmt",
"6","BBOX","Black Box","540.00","-3.15","-0.58","84","89","87","A-","68","9128.99","115180","213297","-7.53","158.89","41.89","8.52","53.06","72.00","90.00","-","Computer-Tech Services  ",
"7","543619","Concord Control Systems","1774.50","84.50","5.00","84","99","91","B+","7","1010.96","17408","9810","-13.94","214.13","0.66","-4.64","51.10","67.00","90.00","2022-10-10","Elec-Misc Products      ",
"8","524506","Coral Laboratories","870.00","-8.40","-0.96","84","90","91","C-","40","313.85","2116","2432","-12.91","193.04","-78.08","-0.49","44.26","65.00","85.00","-","Medical-Diversified     ",
"9","517370","Incap","109.25","-2.20","-1.97","84","87","92","A","15","57.21","798","7306","-11.03","168.55","-78.32","21.81","55.27","94.00","92.00","-","Electronic-Parts        ",
"10","PKTEA","The Peria Krl.Tea","547.00","-11.70","-2.09","83","56","84","B+","55","172.97","1910","3492","-8.25","110.95","60.57","20.44","44.73","91.00","88.00","-","Food-Packaged           ",
